date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-04-09,2,0,0,1,10047,0,0,10047,10047000,0,0,10047000,1000.0,,,1000.0,10047.0,1395-01-21
2016-04-10,1,0,1,0,5047,0,5047,0,5047000,0,5047000,0,1000.0,1000.0,,,0.0,1395-01-22
2017-01-14,1,0,1,0,1925,0,1925,0,1925000,0,1925000,0,1000.0,1000.0,,,0.0,1395-10-25
2017-03-15,1,0,1,0,972,0,972,0,1069200,0,1069200,0,1100.0,1100.0,,,0.0,1395-12-25
2017-04-18,1,0,2,0,367,0,367,0,444070,0,444070,0,1210.0,1210.0,,,0.0,1396-01-29
2018-08-25,1,0,1,0,189,0,189,0,207900,0,207900,0,1100.0,1100.0,,,0.0,1397-06-03
2018-10-13,1,0,1,0,40,0,40,0,44000,0,44000,0,1100.0,1100.0,,,0.0,1397-07-21
2018-10-29,2,0,2,0,1161,0,1161,0,2322000,0,2322000,0,2000.0,2000.0,,,0.0,1397-08-07
2018-11-14,1,0,1,0,5580,0,5580,0,6193800,0,6193800,0,1110.0,1110.0,,,0.0,1397-08-23
2018-11-26,1,0,1,0,5580,0,5580,0,6193800,0,6193800,0,1110.0,1110.0,,,0.0,1397-09-05
2019-06-22,1,0,1,0,600,0,600,0,4200000,0,4200000,0,7000.0,7000.0,,,0.0,1398-04-01
2019-06-24,1,0,2,0,4500,0,4500,0,31500000,0,31500000,0,7000.0,7000.0,,,0.0,1398-04-03
2019-08-31,4,0,2,0,2202,0,2202,0,15414000,0,15414000,0,7000.0,7000.0,,,0.0,1398-06-09
2020-05-03,1,0,1,0,40,0,40,0,64280,0,64280,0,1607.0,1607.0,,,0.0,1399-02-14
2020-07-12,1,0,1,0,40,0,40,0,63040,0,63040,0,1576.0,1576.0,,,0.0,1399-04-22
2020-07-25,1,0,3,0,90,0,90,0,141840,0,141840,0,1576.0,1576.0,,,0.0,1399-05-04
2020-11-09,1,0,1,0,40,0,40,0,64280,0,64280,0,1607.0,1607.0,,,0.0,1399-08-19
2020-11-16,1,0,2,0,80,0,80,0,126080,0,126080,0,1576.0,1576.0,,,0.0,1399-08-26
2020-11-23,1,0,1,0,40,0,40,0,63040,0,63040,0,1576.0,1576.0,,,0.0,1399-09-03
2021-01-16,1,0,1,0,10,0,10,0,16070,0,16070,0,1607.0,1607.0,,,0.0,1399-10-27
2021-02-08,1,0,1,0,5000,0,5000,0,8035000,0,8035000,0,1607.0,1607.0,,,0.0,1399-11-20
