date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-02-09,10,0,0,1,14000,0,0,14000,1400000000,0,0,1400000000,100000.0,,,100000.0,14000.0,1398-11-20
2020-02-10,15,0,0,1,86000,0,0,86000,8600000000,0,0,8600000000,100000.0,,,100000.0,86000.0,1398-11-21
2020-02-12,12,2,0,1,19000,31000,0,50000,1900000000,3100000000,0,5000000000,100000.0,,100000.0,100000.0,19000.0,1398-11-23
2020-08-16,10,0,0,1,46000,0,0,46000,4600000000,0,0,4600000000,100000.0,,,100000.0,46000.0,1399-05-26
2020-08-17,17,2,3,3,71000,38000,5000,104000,7799810000,4180000000,539810000,11440000000,109856.47887323944,107962.0,110000.0,110000.0,66000.0,1399-05-27
2020-08-18,14,0,1,1,32000,0,2000,30000,3868704000,0,241794000,3626910000,120897.0,120897.0,,120897.0,30000.0,1399-05-28
2020-08-19,0,1,3,0,0,4800,4800,0,0,638332800,638332800,0,,132986.0,132986.0,,-4800.0,1399-05-29
2020-08-23,1,0,1,0,1000,0,1000,0,146284000,0,146284000,0,146284.0,146284.0,,,0.0,1399-06-02
2020-08-31,14,0,4,0,74940,0,74940,0,12058745280,0,12058745280,0,160912.0,160912.0,,,0.0,1399-06-10
2020-09-06,5,0,4,0,10800,0,10800,0,1911632400,0,1911632400,0,177003.0,177003.0,,,0.0,1399-06-16
2020-09-08,19,1,24,1,115650,6000,78850,42800,22513479050,1168215000,15348405650,8333288400,194669.0795503675,194653.2105263158,194702.5,194703.0,36800.0,1399-06-18
2020-09-15,5,0,6,0,21400,0,21400,0,4582553200,0,4582553200,0,214138.0,214138.0,,,0.0,1399-06-25
2020-11-11,1,0,1,0,1000,0,1000,0,214137000,0,214137000,0,214137.0,214137.0,,,0.0,1399-08-21
2020-11-16,3,0,3,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-08-26
2020-11-17,2,0,3,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-08-27
2020-11-18,2,0,3,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-08-28
2020-11-21,3,0,4,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-01
2020-11-22,3,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-02
2020-11-23,5,0,4,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-03
2020-11-24,4,0,5,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-04
2020-11-25,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-05
2020-11-28,3,0,3,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-08
2020-11-29,3,0,7,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-09
2020-11-30,6,0,6,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-10
2020-12-01,3,0,4,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-11
2020-12-05,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-15
2020-12-06,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-16
2020-12-07,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-17
2020-12-08,3,0,3,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-18
2020-12-09,3,1,5,1,7000,9050,6050,10000,980000000,1267000000,847000000,1400000000,140000.0,140000.0,140000.0,140000.0,950.0,1399-09-19
2020-12-12,2,0,2,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-22
2020-12-13,1,0,1,0,0,0,0,0,0,0,0,0,,,,,0.0,1399-09-23
