date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-03-11,1,0,6,0,54720,0,54720,0,109440000,0,109440000,0,2000.0,2000.0,,,0.0,1393-12-20
2015-03-14,1,0,4,0,1019232,0,1019232,0,2038464000,0,2038464000,0,2000.0,2000.0,,,0.0,1393-12-23
2015-03-16,1,0,2,0,68654,0,68654,0,137308000,0,137308000,0,2000.0,2000.0,,,0.0,1393-12-25
2015-03-29,1,0,1,0,400,0,400,0,800000,0,800000,0,2000.0,2000.0,,,0.0,1394-01-09
2015-03-30,1,0,1,0,17680,0,17680,0,35360000,0,35360000,0,2000.0,2000.0,,,0.0,1394-01-10
2015-04-06,1,0,1,0,4000,0,4000,0,8000000,0,8000000,0,2000.0,2000.0,,,0.0,1394-01-17
2015-04-11,1,0,1,0,3200,0,3200,0,6400000,0,6400000,0,2000.0,2000.0,,,0.0,1394-01-22
2015-04-12,1,0,1,0,3280,0,3280,0,6560000,0,6560000,0,2000.0,2000.0,,,0.0,1394-01-23
2015-04-14,1,0,1,0,5480,0,5480,0,10960000,0,10960000,0,2000.0,2000.0,,,0.0,1394-01-25
2015-05-04,1,0,6,0,14416,0,14416,0,28832000,0,28832000,0,2000.0,2000.0,,,0.0,1394-02-14
2015-05-10,1,0,2,0,133920,0,133920,0,267840000,0,267840000,0,2000.0,2000.0,,,0.0,1394-02-20
2015-05-11,1,0,2,0,6400,0,6400,0,12800000,0,12800000,0,2000.0,2000.0,,,0.0,1394-02-21
2015-05-13,1,0,1,0,30000,0,30000,0,60000000,0,60000000,0,2000.0,2000.0,,,0.0,1394-02-23
2015-05-18,1,0,2,0,6489,0,6489,0,12978000,0,12978000,0,2000.0,2000.0,,,0.0,1394-02-28
2015-06-10,1,0,1,0,5000,0,5000,0,10000000,0,10000000,0,2000.0,2000.0,,,0.0,1394-03-20
2015-06-14,1,0,1,0,3200,0,3200,0,6400000,0,6400000,0,2000.0,2000.0,,,0.0,1394-03-24
2015-07-21,3,0,1,0,268,0,268,0,536000,0,536000,0,2000.0,2000.0,,,0.0,1394-04-30
2015-07-26,1,0,2,0,10760,0,10760,0,21520000,0,21520000,0,2000.0,2000.0,,,0.0,1394-05-04
2015-07-27,1,0,1,0,8000,0,8000,0,16000000,0,16000000,0,2000.0,2000.0,,,0.0,1394-05-05
2015-08-01,1,0,3,0,26480,0,26480,0,52960000,0,52960000,0,2000.0,2000.0,,,0.0,1394-05-10
2015-08-09,1,0,1,0,9025,0,9025,0,18050000,0,18050000,0,2000.0,2000.0,,,0.0,1394-05-18
2015-08-19,1,0,1,0,8000,0,8000,0,16000000,0,16000000,0,2000.0,2000.0,,,0.0,1394-05-28
2015-09-15,1,0,1,0,8500,0,8500,0,17000000,0,17000000,0,2000.0,2000.0,,,0.0,1394-06-24
2016-05-08,2,1,1,0,25590,100,25690,0,52530740,208500,52739240,0,2052.783899960922,2052.909303230829,2085.0,,-100.0,1395-02-19
2016-05-09,1,0,2,0,14282156,0,14282156,0,18566802800,0,18566802800,0,1300.0,1300.0,,,0.0,1395-02-20
2016-05-16,1,0,1,0,27200,0,27200,0,35387200,0,35387200,0,1301.0,1301.0,,,0.0,1395-02-27
2016-05-24,2,0,2,0,1244490,0,1244490,0,1681299874,0,1681299874,0,1350.995085537047,1350.995085537047,,,0.0,1395-03-04
2016-06-28,1,0,1,0,1000,0,1000,0,1351000,0,1351000,0,1351.0,1351.0,,,0.0,1395-04-08
2016-07-02,1,0,1,0,2949,0,2949,0,3981150,0,3981150,0,1350.0,1350.0,,,0.0,1395-04-12
2016-07-04,1,0,1,0,2200,0,2200,0,3014000,0,3014000,0,1370.0,1370.0,,,0.0,1395-04-14
2016-07-10,1,0,1,0,4292,0,4292,0,6008800,0,6008800,0,1400.0,1400.0,,,0.0,1395-04-20
2016-07-11,1,0,1,0,2050,0,2050,0,2972500,0,2972500,0,1450.0,1450.0,,,0.0,1395-04-21
2016-07-13,1,0,1,0,18658,0,18658,0,27054100,0,27054100,0,1450.0,1450.0,,,0.0,1395-04-23
2016-07-18,1,0,1,0,8000,0,8000,0,12408000,0,12408000,0,1551.0,1551.0,,,0.0,1395-04-28
2016-08-08,1,0,1,0,5001,0,5001,0,7501500,0,7501500,0,1500.0,1500.0,,,0.0,1395-05-18
2016-08-16,1,0,1,0,195,0,195,0,292695,0,292695,0,1501.0,1501.0,,,0.0,1395-05-26
2016-09-10,1,0,1,0,4292,0,4292,0,6656892,0,6656892,0,1551.0,1551.0,,,0.0,1395-06-20
2016-09-27,1,0,1,0,10000,0,10000,0,2180000,0,2180000,0,218.0,218.0,,,0.0,1395-07-06
2016-12-26,1,0,1,0,60000,0,60000,0,19860000,0,19860000,0,331.0,331.0,,,0.0,1395-10-06
2017-01-02,2,0,2,0,210547,0,210547,0,84108800,0,84108800,0,399.4775513305818,399.4775513305818,,,0.0,1395-10-13
2017-01-07,1,0,3,0,250050,0,250050,0,142522500,0,142522500,0,569.9760047990402,569.9760047990402,,,0.0,1395-10-18
2017-01-09,1,0,1,0,50000,0,50000,0,30000000,0,30000000,0,600.0,600.0,,,0.0,1395-10-20
2017-01-14,1,0,1,0,22405,0,22405,0,14115150,0,14115150,0,630.0,630.0,,,0.0,1395-10-25
2017-01-17,1,0,1,0,9126,0,9126,0,6023160,0,6023160,0,660.0,660.0,,,0.0,1395-10-28
2017-01-22,1,0,2,0,14684,0,14684,0,10178800,0,10178800,0,693.1898665213838,693.1898665213838,,,0.0,1395-11-03
2017-01-28,2,0,2,0,20000,0,20000,0,14950000,0,14950000,0,747.5,747.5,,,0.0,1395-11-09
2017-02-04,1,0,1,0,31000,0,31000,0,24335000,0,24335000,0,785.0,785.0,,,0.0,1395-11-16
2017-02-05,1,0,2,0,32000,0,32000,0,26849000,0,26849000,0,839.03125,839.03125,,,0.0,1395-11-17
2017-02-13,1,0,2,0,11000,0,11000,0,9625000,0,9625000,0,875.0,875.0,,,0.0,1395-11-25
2017-03-04,1,0,2,0,5000,0,5000,0,4575000,0,4575000,0,915.0,915.0,,,0.0,1395-12-14
2017-03-15,1,0,2,0,11436,0,11436,0,11504616,0,11504616,0,1006.0,1006.0,,,0.0,1395-12-25
2017-04-12,1,0,2,0,10000,0,10000,0,11060000,0,11060000,0,1106.0,1106.0,,,0.0,1396-01-23
2017-04-18,1,0,3,0,10000,0,10000,0,13370000,0,13370000,0,1337.0,1337.0,,,0.0,1396-01-29
2017-04-29,1,0,4,0,12197,0,12197,0,16307389,0,16307389,0,1337.0,1337.0,,,0.0,1396-02-09
2017-05-01,2,0,1,0,100000,0,100000,0,147000000,0,147000000,0,1470.0,1470.0,,,0.0,1396-02-11
2017-05-02,4,0,3,0,151350,0,151350,0,244732950,0,244732950,0,1617.0,1617.0,,,0.0,1396-02-12
2017-05-03,8,0,3,0,150000,0,150000,0,266700000,0,266700000,0,1778.0,1778.0,,,0.0,1396-02-13
2017-05-06,10,0,6,0,174997,0,174997,0,339112750,0,339112750,0,1937.820362634788,1937.820362634788,,,0.0,1396-02-16
2017-05-07,3,0,3,0,16500,0,16500,0,28792500,0,28792500,0,1745.0,1745.0,,,0.0,1396-02-17
2017-05-08,7,0,14,0,159854,0,159854,0,297945993,0,297945993,0,1863.863231448697,1863.863231448697,,,0.0,1396-02-18
2017-05-09,3,0,3,0,76000,0,76000,0,146521410,0,146521410,0,1927.913289473684,1927.913289473684,,,0.0,1396-02-19
2017-05-13,3,0,9,0,160672,0,160672,0,338504282,0,338504282,0,2106.803189105756,2106.803189105756,,,0.0,1396-02-23
2017-05-14,4,0,7,0,37275,0,37275,0,80460980,0,80460980,0,2158.5775989268946,2158.5775989268946,,,0.0,1396-02-24
2017-05-16,4,0,6,0,41471,0,41471,0,95331443,0,95331443,0,2298.7495599334475,2298.7495599334475,,,0.0,1396-02-26
2017-05-17,1,0,1,0,20000,0,20000,0,46000000,0,46000000,0,2300.0,2300.0,,,0.0,1396-02-27
