date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-12-27,1,0,0,1,50000,0,0,50000,48000000,0,0,48000000,960.0,,,960.0,50000.0,1396-10-06
2017-12-31,1,0,0,1,20000,0,0,20000,21120000,0,0,21120000,1056.0,,,1056.0,20000.0,1396-10-10
2018-01-03,1,0,0,1,20000,0,0,20000,23220000,0,0,23220000,1161.0,,,1161.0,20000.0,1396-10-13
2018-01-08,2,0,0,1,30000,0,0,30000,34830000,0,0,34830000,1161.0,,,1161.0,30000.0,1396-10-18
2018-01-13,2,0,0,1,40000,0,0,40000,51080000,0,0,51080000,1277.0,,,1277.0,40000.0,1396-10-23
2018-01-21,3,0,1,1,101000,0,41000,60000,141804000,0,57564000,84240000,1404.0,1404.0,,1404.0,60000.0,1396-11-01
2018-01-31,5,0,0,2,150000,0,0,150000,231600000,0,0,231600000,1544.0,,,1544.0,150000.0,1396-11-11
2018-02-03,3,1,0,1,103648,50000,0,153648,175994304,84900000,0,260894304,1698.0,,1698.0,1698.0,103648.0,1396-11-14
2018-02-04,7,0,0,2,260000,0,0,260000,485420000,0,0,485420000,1867.0,,,1867.0,260000.0,1396-11-15
2018-02-05,4,0,0,1,230000,0,0,230000,472190000,0,0,472190000,2053.0,,,2053.0,230000.0,1396-11-16
2018-02-14,8,0,2,1,405850,0,5850,400000,916409300,0,13209300,903200000,2258.0,2258.0,,2258.0,400000.0,1396-11-25
2018-03-13,4,0,5,0,118179,0,118179,0,293438457,0,293438457,0,2483.0,2483.0,,,0.0,1396-12-22
2018-04-08,5,0,4,1,164223,0,114223,50000,448493013,0,311943013,136550000,2731.0,2731.0,,2731.0,50000.0,1397-01-19
2018-04-09,20,0,17,2,751739,0,601739,150000,2258223956,0,1807623956,450600000,3004.0,3004.0,,3004.0,150000.0,1397-01-20
2018-04-10,43,0,18,1,972643,0,878344,94299,2775849956,0,2464286060,311563896,2853.924776099761,2805.604706128806,,3304.0,94299.0,1397-01-21
2018-04-11,9,0,3,0,31447,0,31447,0,80899743,0,80899743,0,2572.57426781569,2572.57426781569,,,0.0,1397-01-22
2018-04-18,2,0,2,0,3800,0,3800,0,9310000,0,9310000,0,2450.0,2450.0,,,0.0,1397-01-29
2018-04-23,1,0,2,0,20000,0,20000,0,43980000,0,43980000,0,2199.0,2199.0,,,0.0,1397-02-03
2018-04-28,28,0,9,0,329458,0,329458,0,659927000,0,659927000,0,2003.0686764322008,2003.0686764322008,,,0.0,1397-02-08
2018-04-30,8,0,3,0,94000,0,94000,0,192700000,0,192700000,0,2050.0,2050.0,,,0.0,1397-02-10
2018-05-05,10,0,7,0,181790,0,181790,0,381704000,0,381704000,0,2099.6974531052315,2099.6974531052315,,,0.0,1397-02-15
2018-05-07,8,0,11,0,91680,0,91680,0,192734132,0,192734132,0,2102.248385689354,2102.248385689354,,,0.0,1397-02-17
