date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-01,0,1,1,0,0,100,100,0,0,415100,415100,0,,4151.0,4151.0,,-100.0,1387-09-11
2008-12-02,0,1,1,0,0,100,100,0,0,402700,402700,0,,4027.0,4027.0,,-100.0,1387-09-12
2008-12-06,0,1,1,0,0,100,100,0,0,390700,390700,0,,3907.0,3907.0,,-100.0,1387-09-16
2009-01-11,0,1,1,0,0,1000,1000,0,0,2760000,2760000,0,,2760.0,2760.0,,-1000.0,1387-10-22
2009-01-24,1,0,4,0,20000,0,20000,0,53560000,0,53560000,0,2678.0,2678.0,,,0.0,1387-11-05
2009-01-25,0,1,3,0,0,4000,4000,0,0,10392000,10392000,0,,2598.0,2598.0,,-4000.0,1387-11-06
2009-01-31,1,0,1,0,100,0,100,0,259100,0,259100,0,2591.0,2591.0,,,0.0,1387-11-12
2009-02-15,1,0,1,0,10,0,10,0,25910,0,25910,0,2591.0,2591.0,,,0.0,1387-11-27
2009-02-17,1,0,1,0,10,0,10,0,25140,0,25140,0,2514.0,2514.0,,,0.0,1387-11-29
2010-03-27,1,0,1,0,110,0,110,0,271150,0,271150,0,2465.0,2465.0,,,0.0,1389-01-07
2010-03-28,1,0,1,0,100,0,100,0,246500,0,246500,0,2465.0,2465.0,,,0.0,1389-01-08
2010-03-30,1,0,1,0,32,0,32,0,78880,0,78880,0,2465.0,2465.0,,,0.0,1389-01-10
2010-04-06,1,0,1,0,10,0,10,0,24650,0,24650,0,2465.0,2465.0,,,0.0,1389-01-17
2010-04-07,1,0,1,0,5000,0,5000,0,12325000,0,12325000,0,2465.0,2465.0,,,0.0,1389-01-18
2010-04-12,1,0,2,0,3010,0,3010,0,7452760,0,7452760,0,2476.0,2476.0,,,0.0,1389-01-23
2010-04-13,4,0,1,1,87956,0,6000,81956,225343272,0,15372000,209971272,2562.0,2562.0,,2562.0,81956.0,1389-01-24
2010-04-14,1,0,1,0,10,0,10,0,26510,0,26510,0,2651.0,2651.0,,,0.0,1389-01-25
2010-06-13,1,0,2,0,24171,0,24171,0,64077321,0,64077321,0,2651.0,2651.0,,,0.0,1389-03-23
2010-06-14,4,0,7,2,124666,0,103666,21000,332894979,0,275291979,57603000,2670.2948598655607,2655.566714255397,,2743.0,21000.0,1389-03-24
2010-06-16,2,0,8,0,17273,0,17273,0,44522576,0,44522576,0,2577.5821223875414,2577.5821223875414,,,0.0,1389-03-26
2010-06-20,1,0,1,0,9019,0,9019,0,22881203,0,22881203,0,2537.0,2537.0,,,0.0,1389-03-30
2010-06-21,1,0,5,0,11850,0,11850,0,29845385,0,29845385,0,2518.597890295359,2518.597890295359,,,0.0,1389-03-31
2010-06-23,1,0,3,0,16000,0,16000,0,39840000,0,39840000,0,2490.0,2490.0,,,0.0,1389-04-02
2010-06-27,1,0,6,0,30823,0,30823,0,75639642,0,75639642,0,2454.0,2454.0,,,0.0,1389-04-06
2010-06-28,2,0,2,0,512,0,512,0,1280000,0,1280000,0,2500.0,2500.0,,,0.0,1389-04-07
2010-06-29,1,0,1,0,12571,0,12571,0,29843554,0,29843554,0,2374.0,2374.0,,,0.0,1389-04-08
2010-07-03,1,0,1,0,5000,0,5000,0,11710000,0,11710000,0,2342.0,2342.0,,,0.0,1389-04-12
2010-07-06,2,0,2,0,49935,0,49935,0,119424000,0,119424000,0,2391.589065785521,2391.589065785521,,,0.0,1389-04-15
2010-07-07,2,0,2,0,6537,0,6537,0,15281210,0,15281210,0,2337.648768548264,2337.648768548264,,,0.0,1389-04-16
2010-07-17,1,0,1,0,1000,0,1000,0,2569000,0,2569000,0,2569.0,2569.0,,,0.0,1389-04-26
2010-07-18,3,0,3,0,28513,0,28513,0,70341571,0,70341571,0,2467.0,2467.0,,,0.0,1389-04-27
2010-07-19,5,0,5,0,8969,0,8969,0,21491494,0,21491494,0,2396.1973464154307,2396.1973464154307,,,0.0,1389-04-28
2010-08-01,1,0,1,1,40179,0,179,40000,98197476,0,437476,97760000,2444.0,2444.0,,2444.0,40000.0,1389-05-10
2010-08-02,6,0,7,2,22599,0,16830,5769,56839925,0,42316793,14523132,2515.15221912474,2514.3667855020794,,2517.44357774311,5769.0,1389-05-11
2010-08-03,3,0,4,0,36554,0,36554,0,92892240,0,92892240,0,2541.2332439678285,2541.2332439678285,,,0.0,1389-05-12
2010-08-07,1,0,2,0,7224,0,7224,0,17885336,0,17885336,0,2475.8217054263564,2475.8217054263564,,,0.0,1389-05-16
2010-08-09,1,0,5,0,13842,0,13842,0,33580692,0,33580692,0,2426.0,2426.0,,,0.0,1389-05-18
2010-08-10,1,0,3,0,21562,0,21562,0,52559424,0,52559424,0,2437.595028290511,2437.595028290511,,,0.0,1389-05-19
2010-08-11,1,0,1,0,6026,0,6026,0,14920376,0,14920376,0,2476.0,2476.0,,,0.0,1389-05-20
2010-08-14,2,0,1,0,35000,0,35000,0,83825000,0,83825000,0,2395.0,2395.0,,,0.0,1389-05-23
2010-08-15,2,0,6,0,23682,0,23682,0,55217970,0,55217970,0,2331.6430200152013,2331.6430200152013,,,0.0,1389-05-24
2010-08-18,3,0,4,0,72840,0,72840,0,175608816,0,175608816,0,2410.8843492586493,2410.8843492586493,,,0.0,1389-05-27
2010-08-21,1,0,0,1,5000,0,0,5000,12055000,0,0,12055000,2411.0,,,2411.0,5000.0,1389-05-30
2010-08-22,3,0,8,0,236725,0,236725,0,591068186,0,591068186,0,2496.855786249868,2496.855786249868,,,0.0,1389-05-31
2010-08-29,2,0,1,0,4974,0,4974,0,11927652,0,11927652,0,2398.0,2398.0,,,0.0,1389-06-07
2010-08-30,2,0,3,0,6900,0,6900,0,16456500,0,16456500,0,2385.0,2385.0,,,0.0,1389-06-08
2010-08-31,2,0,6,0,9965,0,9965,0,23597120,0,23597120,0,2368.0,2368.0,,,0.0,1389-06-09
2010-09-05,1,0,3,0,3344,0,3344,0,8164496,0,8164496,0,2441.535885167464,2441.535885167464,,,0.0,1389-06-14
2010-09-06,4,0,4,0,15218,0,15218,0,38623284,0,38623284,0,2538.0,2538.0,,,0.0,1389-06-15
2010-09-07,4,0,3,0,72310,0,72310,0,186415180,0,186415180,0,2578.0,2578.0,,,0.0,1389-06-16
2010-09-08,4,0,4,0,104106,0,104106,0,272004912,0,272004912,0,2612.7688317676216,2612.7688317676216,,,0.0,1389-06-17
2010-09-12,5,0,7,0,48698,0,48698,0,131408200,0,131408200,0,2698.431147069695,2698.431147069695,,,0.0,1389-06-21
2010-09-13,5,0,5,0,24462,0,24462,0,64495909,0,64495909,0,2636.575463984956,2636.575463984956,,,0.0,1389-06-22
2010-09-14,4,0,8,0,83071,0,83071,0,226930165,0,226930165,0,2731.761565407904,2731.761565407904,,,0.0,1389-06-23
2010-09-15,10,0,5,0,163310,0,163310,0,449972120,0,449972120,0,2755.3249647908883,2755.3249647908883,,,0.0,1389-06-24
2010-09-18,1,0,1,0,26000,0,26000,0,71840000,0,71840000,0,2763.076923076923,2763.076923076923,,,0.0,1389-06-27
2010-09-21,1,0,1,0,500,0,500,0,1325000,0,1325000,0,2650.0,2650.0,,,0.0,1389-06-30
2010-09-26,1,0,1,0,500,0,500,0,1324500,0,1324500,0,2649.0,2649.0,,,0.0,1389-07-04
2010-09-27,3,0,1,0,20010,0,20010,0,52986480,0,52986480,0,2648.0,2648.0,,,0.0,1389-07-05
2010-09-29,1,0,1,0,510,0,510,0,1322430,0,1322430,0,2593.0,2593.0,,,0.0,1389-07-07
2010-10-03,1,0,3,0,10000,0,10000,0,25920000,0,25920000,0,2592.0,2592.0,,,0.0,1389-07-11
2010-10-06,1,0,11,0,67744,0,67744,0,173831104,0,173831104,0,2566.0,2566.0,,,0.0,1389-07-14
2010-10-09,2,0,2,0,5500,0,5500,0,13632000,0,13632000,0,2478.5454545454545,2478.5454545454545,,,0.0,1389-07-17
2010-10-10,1,0,1,0,36783,0,36783,0,93796650,0,93796650,0,2550.0,2550.0,,,0.0,1389-07-18
2010-10-11,1,0,4,0,8699,0,8699,0,21295152,0,21295152,0,2448.0,2448.0,,,0.0,1389-07-19
2010-10-12,1,0,2,0,1500,0,1500,0,3790500,0,3790500,0,2527.0,2527.0,,,0.0,1389-07-20
2010-10-13,1,0,2,0,14166,0,14166,0,34366716,0,34366716,0,2426.0,2426.0,,,0.0,1389-07-21
2010-10-16,1,0,3,0,11034,0,11034,0,26382294,0,26382294,0,2391.0,2391.0,,,0.0,1389-07-24
2010-10-18,3,0,7,0,63000,0,63000,0,148932000,0,148932000,0,2364.0,2364.0,,,0.0,1389-07-26
2010-10-31,2,0,2,0,19306,0,19306,0,45346860,0,45346860,0,2348.848026520253,2348.848026520253,,,0.0,1389-08-09
2010-11-06,1,0,3,0,12920,0,12920,0,29845200,0,29845200,0,2310.0,2310.0,,,0.0,1389-08-15
2010-11-07,1,0,1,0,642,0,642,0,1473390,0,1473390,0,2295.0,2295.0,,,0.0,1389-08-16
2010-11-10,2,0,4,0,27197,0,27197,0,62341659,0,62341659,0,2292.2255763503326,2292.2255763503326,,,0.0,1389-08-19
2010-11-20,1,0,1,0,947,0,947,0,2130750,0,2130750,0,2250.0,2250.0,,,0.0,1389-08-29
2010-11-21,1,0,1,0,9222,0,9222,0,20749500,0,20749500,0,2250.0,2250.0,,,0.0,1389-08-30
2010-11-22,0,1,5,0,0,50000,50000,0,0,116252036,116252036,0,,2325.04072,2325.04072,,-50000.0,1389-09-01
2010-11-23,1,1,3,0,5000,43522,48522,0,11160000,105196196,116356196,0,2232.0,2398.009068051605,2417.0809245898627,,-43522.0,1389-09-02
2010-11-24,0,1,1,0,0,3094,3094,0,0,7580300,7580300,0,,2450.0,2450.0,,-3094.0,1389-09-03
2010-11-27,1,0,1,0,486,0,486,0,1176120,0,1176120,0,2420.0,2420.0,,,0.0,1389-09-06
2010-11-30,1,0,1,0,4043,0,4043,0,9323158,0,9323158,0,2306.0,2306.0,,,0.0,1389-09-09
2010-12-04,1,0,1,0,2155,0,2155,0,4971585,0,4971585,0,2307.0,2307.0,,,0.0,1389-09-13
2010-12-05,1,0,1,0,3456,0,3456,0,7921152,0,7921152,0,2292.0,2292.0,,,0.0,1389-09-14
2010-12-07,1,0,1,0,50000,0,50000,0,114150000,0,114150000,0,2283.0,2283.0,,,0.0,1389-09-16
2010-12-08,2,0,1,0,3621,0,3621,0,7940832,0,7940832,0,2192.9942004971003,2192.9942004971003,,,0.0,1389-09-17
2010-12-11,3,0,3,0,19117,0,19117,0,41756764,0,41756764,0,2184.2738923471256,2184.2738923471256,,,0.0,1389-09-20
2010-12-12,2,0,1,0,1000,0,1000,0,2176200,0,2176200,0,2176.2,2176.2,,,0.0,1389-09-21
2010-12-13,1,0,1,0,2800,0,2800,0,6003200,0,6003200,0,2144.0,2144.0,,,0.0,1389-09-22
2010-12-14,3,0,2,0,18577,0,18577,0,39828424,0,39828424,0,2143.964256876783,2143.964256876783,,,0.0,1389-09-23
2010-12-18,3,0,1,0,22071,0,22071,0,46326436,0,46326436,0,2098.9731321643785,2098.9731321643785,,,0.0,1389-09-27
2010-12-22,1,0,1,0,1695,0,1695,0,3525600,0,3525600,0,2080.0,2080.0,,,0.0,1389-10-01
2010-12-26,1,0,1,0,142,0,142,0,295360,0,295360,0,2080.0,2080.0,,,0.0,1389-10-05
2010-12-27,1,0,1,0,47277,0,47277,0,100889118,0,100889118,0,2134.0,2134.0,,,0.0,1389-10-06
2010-12-28,3,0,1,0,15000,0,15000,0,31240900,0,31240900,0,2082.7266666666665,2082.7266666666665,,,0.0,1389-10-07
2010-12-29,3,0,3,0,11518,0,11518,0,23719520,0,23719520,0,2059.343636047925,2059.343636047925,,,0.0,1389-10-08
2011-01-01,5,0,3,0,26780,0,26780,0,55101130,0,55101130,0,2057.547796863331,2057.547796863331,,,0.0,1389-10-11
2011-01-04,2,0,2,0,2078,0,2078,0,4132692,0,4132692,0,1988.7834456207893,1988.7834456207893,,,0.0,1389-10-14
2011-01-05,3,0,1,0,8422,0,8422,0,16732852,0,16732852,0,1986.802659700784,1986.802659700784,,,0.0,1389-10-15
2011-01-08,2,0,3,0,11978,0,11978,0,23956000,0,23956000,0,2000.0,2000.0,,,0.0,1389-10-18
2011-01-10,2,0,1,0,3000,0,3000,0,6003000,0,6003000,0,2001.0,2001.0,,,0.0,1389-10-20
2011-01-16,1,0,1,0,200,0,200,0,414000,0,414000,0,2070.0,2070.0,,,0.0,1389-10-26
2011-01-17,2,0,2,0,2500,0,2500,0,5022400,0,5022400,0,2008.96,2008.96,,,0.0,1389-10-27
2011-01-18,6,0,4,0,78109,0,78109,0,155778000,0,155778000,0,1994.3668463301285,1994.3668463301285,,,0.0,1389-10-28
2011-01-19,2,0,2,0,5300,0,5300,0,10594800,0,10594800,0,1999.018867924528,1999.018867924528,,,0.0,1389-10-29
2011-01-22,4,1,7,0,87042,17400,104442,0,168230174,34965000,203195174,0,1932.7471105902896,1945.5312422205627,2009.4827586206895,,-17400.0,1389-11-02
2011-01-23,1,0,1,0,3060,0,3060,0,6003720,0,6003720,0,1962.0,1962.0,,,0.0,1389-11-03
2011-01-24,2,0,1,0,609,0,609,0,1228332,0,1228332,0,2016.9655172413795,2016.9655172413795,,,0.0,1389-11-04
2011-01-30,1,0,1,0,448,0,448,0,907200,0,907200,0,2025.0,2025.0,,,0.0,1389-11-10
2011-01-31,1,0,1,0,3260,0,3260,0,6604760,0,6604760,0,2026.0,2026.0,,,0.0,1389-11-11
2011-02-01,1,0,1,0,204,0,204,0,414936,0,414936,0,2034.0,2034.0,,,0.0,1389-11-12
2011-02-06,1,0,1,0,20000,0,20000,0,40680000,0,40680000,0,2034.0,2034.0,,,0.0,1389-11-17
2011-02-07,1,0,1,0,1800,0,1800,0,3736800,0,3736800,0,2076.0,2076.0,,,0.0,1389-11-18
2011-02-09,1,0,1,0,10000,0,10000,0,20810000,0,20810000,0,2081.0,2081.0,,,0.0,1389-11-20
2011-02-12,4,0,1,0,10000,0,10000,0,21020000,0,21020000,0,2102.0,2102.0,,,0.0,1389-11-23
2011-02-13,1,0,1,0,10000,0,10000,0,21240000,0,21240000,0,2124.0,2124.0,,,0.0,1389-11-24
2011-02-14,2,0,1,0,2984,0,2984,0,6403664,0,6403664,0,2146.0,2146.0,,,0.0,1389-11-25
2011-02-15,1,0,2,0,3207,0,3207,0,6901464,0,6901464,0,2152.0,2152.0,,,0.0,1389-11-26
2011-02-19,1,0,1,0,10000,0,10000,0,21600000,0,21600000,0,2160.0,2160.0,,,0.0,1389-11-30
2011-02-20,1,0,1,0,465,0,465,0,1014630,0,1014630,0,2182.0,2182.0,,,0.0,1389-12-01
2011-03-05,2,0,2,0,7500,0,7500,0,16002000,0,16002000,0,2133.6,2133.6,,,0.0,1389-12-14
2011-03-06,2,0,3,0,16537,0,16537,0,36232567,0,36232567,0,2191.0,2191.0,,,0.0,1389-12-15
2011-03-07,3,0,4,0,18543,0,18543,0,41276804,0,41276804,0,2226.004637868737,2226.004637868737,,,0.0,1389-12-16
2011-03-08,3,0,4,0,29082,0,29082,0,63737957,0,63737957,0,2191.663468812324,2191.663468812324,,,0.0,1389-12-17
2011-03-09,5,0,2,0,73860,0,73860,0,157634260,0,157634260,0,2134.2304359599243,2134.2304359599243,,,0.0,1389-12-18
2011-03-19,2,0,1,0,19200,0,19200,0,42604800,0,42604800,0,2219.0,2219.0,,,0.0,1389-12-28
2011-03-27,1,0,2,1,41526,0,6707,34819,93973338,0,15177941,78795397,2263.0,2263.0,,2263.0,34819.0,1390-01-07
2011-03-28,1,0,1,0,3708,0,3708,0,8724924,0,8724924,0,2353.0,2353.0,,,0.0,1390-01-08
2011-03-29,1,0,1,1,38162,0,13162,25000,90138644,0,31088644,59050000,2362.0,2362.0,,2362.0,25000.0,1390-01-09
2011-03-30,1,0,0,1,35000,0,0,35000,85925000,0,0,85925000,2455.0,,,2455.0,35000.0,1390-01-10
2011-04-03,1,0,2,1,36141,0,1141,35000,91942704,0,2902704,89040000,2544.0,2544.0,,2544.0,35000.0,1390-01-14
2011-04-04,2,0,4,1,41500,0,6500,35000,109518500,0,17153500,92365000,2639.0,2639.0,,2639.0,35000.0,1390-01-15
2011-04-05,2,0,1,1,41000,0,6000,35000,112504000,0,16464000,96040000,2744.0,2744.0,,2744.0,35000.0,1390-01-16
2011-04-06,1,0,0,1,40000,0,0,40000,114120000,0,0,114120000,2853.0,,,2853.0,40000.0,1390-01-17
2011-04-09,23,0,4,1,298777,0,48777,250000,886414443,0,144674150,741740293,2966.809503408897,2966.03214629846,,2966.961172,250000.0,1390-01-20
2011-04-10,10,0,11,0,149581,0,149581,0,428851650,0,428851650,0,2867.019541251897,2867.019541251897,,,0.0,1390-01-21
2011-04-11,4,1,6,0,80800,1420,82220,0,228642000,3976000,232618000,0,2829.727722772277,2829.214303089273,2800.0,,-1420.0,1390-01-22
2011-04-12,2,0,1,0,9000,0,9000,0,24444000,0,24444000,0,2716.0,2716.0,,,0.0,1390-01-23
2011-04-20,6,0,21,0,109753,0,109753,0,300415972,0,300415972,0,2737.2005503266428,2737.2005503266428,,,0.0,1390-01-31
2011-04-23,3,0,3,0,8300,0,8300,0,22036400,0,22036400,0,2654.987951807229,2654.987951807229,,,0.0,1390-02-03
2011-04-25,1,0,2,0,260000,0,260000,0,678860000,0,678860000,0,2611.0,2611.0,,,0.0,1390-02-05
2011-05-02,3,0,9,0,59320,0,59320,0,149253231,0,149253231,0,2516.0693020903573,2516.0693020903573,,,0.0,1390-02-12
2011-05-03,3,0,3,0,103000,0,103000,0,257600000,0,257600000,0,2500.970873786408,2500.970873786408,,,0.0,1390-02-13
2011-05-04,1,0,1,0,81216,0,81216,0,203120000,0,203120000,0,2500.985027580772,2500.985027580772,,,0.0,1390-02-14
2011-05-09,6,1,9,0,127878,2027,129905,0,311932056,4868150,316800206,0,2439.294139726928,2438.7067934259653,2401.652688702516,,-2027.0,1390-02-19
2011-05-10,1,1,2,0,318,8324,8642,0,779418,21101340,21880758,0,2451.0,2531.909048831289,2535.0,,-8324.0,1390-02-20
2011-05-11,3,0,2,0,4909,0,4909,0,11598058,0,11598058,0,2362.611122428193,2362.611122428193,,,0.0,1390-02-21
2011-05-14,2,0,2,0,13176,0,13176,0,32721324,0,32721324,0,2483.403460837887,2483.403460837887,,,0.0,1390-02-24
2011-06-20,1,0,3,0,30000,0,30000,0,75000000,0,75000000,0,2500.0,2500.0,,,0.0,1390-03-30
2011-06-21,3,0,5,1,100010,0,87772,12238,240364176,0,210992976,29371200,2403.4014198580144,2403.8756778927223,,2400.0,12238.0,1390-03-31
2011-06-22,2,1,7,0,41695,81305,123000,0,96190365,187570635,283761000,0,2307.0,2307.0,2307.0,,-81305.0,1390-04-01
2011-06-25,3,1,4,0,11737,15815,27552,0,27235375,37550010,64785385,0,2320.4715855840504,2351.385924796748,2374.3288017704717,,-15815.0,1390-04-04
2011-06-26,0,1,1,0,0,10000,10000,0,0,24000000,24000000,0,,2400.0,2400.0,,-10000.0,1390-04-05
2011-06-27,3,0,2,0,17385,0,17385,0,40000500,0,40000500,0,2300.862812769629,2300.862812769629,,,0.0,1390-04-06
2011-06-28,5,1,7,0,98005,62000,160005,0,227159060,149645800,376804860,0,2317.8313351359625,2354.956782600544,2413.641935483871,,-62000.0,1390-04-07
2011-06-29,4,1,4,0,27160,51000,78160,0,65946000,124071000,190017000,0,2428.0559646539027,2431.128454452405,2432.764705882353,,-51000.0,1390-04-08
2011-07-02,4,0,4,0,61055,0,61055,0,147925810,0,147925810,0,2422.828760953239,2422.828760953239,,,0.0,1390-04-11
2011-07-04,1,0,2,0,6004,0,6004,0,14001320,0,14001320,0,2331.9986675549635,2331.9986675549635,,,0.0,1390-04-13
2011-07-05,4,0,6,0,59575,0,59575,0,140711312,0,140711312,0,2361.918791439362,2361.918791439362,,,0.0,1390-04-14
2011-07-16,1,0,4,0,184302,0,184302,0,436637196,0,436637196,0,2369.1397597421624,2369.1397597421624,,,0.0,1390-04-25
2011-07-19,4,0,9,0,114068,0,114068,0,280866484,0,280866484,0,2462.27236385314,2462.27236385314,,,0.0,1390-04-28
2011-07-31,1,0,1,0,3000,0,3000,0,5028000,0,5028000,0,1676.0,1676.0,,,0.0,1390-05-09
2011-08-02,1,0,1,0,3998,0,3998,0,6720638,0,6720638,0,1681.0,1681.0,,,0.0,1390-05-11
2011-08-08,1,0,1,0,813,0,813,0,1372344,0,1372344,0,1688.0,1688.0,,,0.0,1390-05-17
2011-08-10,2,0,2,0,10773,0,10773,0,18206370,0,18206370,0,1690.0,1690.0,,,0.0,1390-05-19
2011-08-14,1,0,2,0,6537,0,6537,0,11165196,0,11165196,0,1708.0,1708.0,,,0.0,1390-05-23
2011-08-15,1,0,2,0,3074,0,3074,0,5287280,0,5287280,0,1720.0,1720.0,,,0.0,1390-05-24
2011-08-16,3,0,1,0,125000,0,125000,0,215625000,0,215625000,0,1725.0,1725.0,,,0.0,1390-05-25
2011-08-23,20,0,8,1,131433,0,53623,77810,198206279,0,81266984,116939295,1508.0404388547777,1515.524756168062,,1502.8825986377071,77810.0,1390-06-01
2011-08-24,45,0,8,1,781132,0,153942,627190,1224459217,0,241272787,983186430,1567.5445596902955,1567.2966896623404,,1567.6053986830148,627190.0,1390-06-02
2011-08-27,30,0,4,1,316544,0,66544,250000,515841620,0,108341620,407500000,1629.6047942782045,1628.1200408752104,,1630.0,250000.0,1390-06-05
2011-08-28,32,0,14,1,192201,0,142201,50000,314015958,0,233139519,80876439,1633.7894079635382,1639.5068881372142,,1617.52878,50000.0,1390-06-06
2011-08-29,19,0,12,1,145869,0,115180,30689,229479024,0,181296605,48182419,1573.1856940131213,1574.028520576489,,1570.0224510410897,30689.0,1390-06-07
2011-08-30,14,0,8,1,77238,0,58970,18268,117349741,0,89746793,27602948,1519.326510266967,1521.905935221299,,1511.0,18268.0,1390-06-08
2011-09-03,14,0,9,1,182285,0,81242,101043,266463615,0,119017948,147445667,1461.7967194228818,1464.9805273134589,,1459.236829864513,101043.0,1390-06-12
2011-09-04,23,0,22,1,289286,0,239286,50000,434514650,0,358514650,76000000,1502.024467136329,1498.268390127295,,1520.0,50000.0,1390-06-13
2011-09-05,10,0,9,0,80730,0,80730,0,125748260,0,125748260,0,1557.6397869441348,1557.6397869441348,,,0.0,1390-06-14
2011-09-06,2,0,3,1,63150,0,13150,50000,102303000,0,21303000,81000000,1620.0,1620.0,,1620.0,50000.0,1390-06-15
2011-09-07,41,0,20,1,403686,0,389866,13820,674593191,0,651555251,23037940,1671.0839390020956,1671.2287067864345,,1667.0,13820.0,1390-06-16
2011-09-10,22,0,12,1,157862,0,107862,50000,254776615,0,173708965,81067650,1613.9198477150928,1610.4741706995976,,1621.353,50000.0,1390-06-19
2011-09-11,12,0,7,0,57020,0,57020,0,89138700,0,89138700,0,1563.2883198877587,1563.2883198877587,,,0.0,1390-06-20
2011-09-12,18,0,8,1,188201,0,88201,100000,284399796,0,134091229,150308567,1511.1492287501128,1520.291481955987,,1503.08567,100000.0,1390-06-21
2011-09-13,7,0,12,1,216535,0,115535,101000,334394401,0,177590341,156804060,1544.2972313944629,1537.112918163327,,1552.5154455445545,101000.0,1390-06-22
2011-09-14,10,0,8,1,316141,0,130961,185180,485056757,0,202629048,282427709,1534.3051265100066,1547.247256816915,,1525.1523328653202,185180.0,1390-06-23
2011-09-17,5,0,3,0,19409,0,19409,0,29961750,0,29961750,0,1543.7039517749497,1543.7039517749497,,,0.0,1390-06-26
2011-09-18,6,0,4,0,29323,0,29323,0,44994950,0,44994950,0,1534.4592981618523,1534.4592981618523,,,0.0,1390-06-27
2011-09-19,6,0,10,0,36341,0,36341,0,55857978,0,55857978,0,1537.0512093778375,1537.0512093778375,,,0.0,1390-06-28
2011-09-20,3,0,6,0,16964,0,16964,0,26132807,0,26132807,0,1540.4861471351096,1540.4861471351096,,,0.0,1390-06-29
2011-09-21,6,0,5,0,65735,0,65735,0,100438375,0,100438375,0,1527.9284247356811,1527.9284247356811,,,0.0,1390-06-30
2011-09-25,3,0,3,0,54635,0,54635,0,81674793,0,81674793,0,1494.9170495103872,1494.9170495103872,,,0.0,1390-07-03
2011-09-26,2,0,2,0,8213,0,8213,0,12403150,0,12403150,0,1510.185072446122,1510.185072446122,,,0.0,1390-07-04
2011-09-27,4,0,3,0,11390,0,11390,0,17252800,0,17252800,0,1514.7322212467077,1514.7322212467077,,,0.0,1390-07-05
2011-09-28,3,0,4,0,57042,0,57042,0,85391056,0,85391056,0,1496.9856596893517,1496.9856596893517,,,0.0,1390-07-06
2011-10-01,2,0,4,0,50000,0,50000,0,75575000,0,75575000,0,1511.5,1511.5,,,0.0,1390-07-09
2011-10-02,2,0,4,0,16401,0,16401,0,24634302,0,24634302,0,1502.0,1502.0,,,0.0,1390-07-10
2011-10-03,7,0,9,0,112590,0,112590,0,169108460,0,169108460,0,1501.9847233324451,1501.9847233324451,,,0.0,1390-07-11
2011-10-04,3,0,2,0,884,0,884,0,1336580,0,1336580,0,1511.9683257918552,1511.9683257918552,,,0.0,1390-07-12
2011-10-05,3,0,3,0,14750,0,14750,0,22139877,0,22139877,0,1501.0086101694917,1501.0086101694917,,,0.0,1390-07-13
2011-10-08,5,0,15,0,116267,0,116267,0,178657916,0,178657916,0,1536.6175785046487,1536.6175785046487,,,0.0,1390-07-16
2011-10-09,10,0,22,0,393403,0,393403,0,628048004,0,628048004,0,1596.449452596955,1596.449452596955,,,0.0,1390-07-17
2011-10-10,19,0,33,0,894909,0,894909,0,1477592486,0,1477592486,0,1651.1092032821214,1651.1092032821214,,,0.0,1390-07-18
2011-10-11,4,0,4,0,26450,0,26450,0,42876463,0,42876463,0,1621.0382986767486,1621.0382986767486,,,0.0,1390-07-19
2011-10-12,8,0,14,0,202755,0,202755,0,323855438,0,323855438,0,1597.274730586175,1597.274730586175,,,0.0,1390-07-20
2011-10-15,2,0,20,0,167073,0,167073,0,276095904,0,276095904,0,1652.5465155949794,1652.5465155949794,,,0.0,1390-07-23
2011-10-16,5,0,7,0,75400,0,75400,0,125765500,0,125765500,0,1667.977453580902,1667.977453580902,,,0.0,1390-07-24
2011-10-17,2,0,1,0,20150,0,20150,0,32280300,0,32280300,0,1602.0,1602.0,,,0.0,1390-07-25
2011-10-18,6,0,8,0,32370,0,32370,0,53872300,0,53872300,0,1664.266295953043,1664.266295953043,,,0.0,1390-07-26
2011-10-19,6,0,6,0,46330,0,46330,0,76539366,0,76539366,0,1652.0476149363265,1652.0476149363265,,,0.0,1390-07-27
2011-10-22,1,0,1,0,30,0,30,0,49770,0,49770,0,1659.0,1659.0,,,0.0,1390-07-30
2011-11-05,5,0,3,0,14010,0,14010,0,27837890,0,27837890,0,1987.0014275517487,1987.0014275517487,,,0.0,1390-08-14
2011-11-06,1,0,1,0,100,0,100,0,190800,0,190800,0,1908.0,1908.0,,,0.0,1390-08-15
2011-11-08,1,0,1,0,1000,0,1000,0,1908000,0,1908000,0,1908.0,1908.0,,,0.0,1390-08-17
2011-11-14,3,0,2,0,400,0,400,0,708900,0,708900,0,1772.25,1772.25,,,0.0,1390-08-23
2011-11-21,5,0,1,0,16450,0,16450,0,25763950,0,25763950,0,1566.1975683890578,1566.1975683890578,,,0.0,1390-08-30
2011-11-22,5,0,22,0,137738,0,137738,0,207157952,0,207157952,0,1504.0,1504.0,,,0.0,1390-09-01
2011-11-23,3,0,6,0,29000,0,29000,0,42448000,0,42448000,0,1463.7241379310344,1463.7241379310344,,,0.0,1390-09-02
