date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-10-23,874796,1082,0,1,149813745,185735,0,149999480,323597689200,401187600,0,323998876800,2160.0,,2160.0,2160.0,149813745.0,1398-08-01
2019-10-26,4,1,2378,10,339921,50000,388188,1733,770940828,113400000,880410384,3930444,2268.0,2268.0,2268.0,2268.0,-48267.0,1398-08-04
2019-10-28,14,0,2633,3,437052,0,436533,519,1040620812,0,1039385073,1235739,2381.0,2381.0,,2381.0,519.0,1398-08-06
2019-10-30,35,0,4697,3,785281,0,784760,521,1963202427,0,1961899927,1302500,2499.9999070396457,2499.9999069779296,,2500.0,521.0,1398-08-08
2019-11-02,76,1,14033,66,2346267,50000,2384847,11420,6158950875,131250000,6260223375,29977500,2625.0,2625.0,2625.0,2625.0,-38580.0,1398-08-11
2019-11-03,49,0,8323,14,1428129,0,1425704,2425,3935923524,0,3929240224,6683300,2756.0,2756.0,,2756.0,2425.0,1398-08-12
2019-11-04,59,0,8616,7,1473005,0,1471791,1214,4261403465,0,4257891363,3512102,2893.0,2893.0,,2893.0,1214.0,1398-08-13
2019-11-05,63,0,10815,10,1894611,0,1893106,1505,5753933607,0,5749362922,4570685,3037.0,3037.0,,3037.0,1505.0,1398-08-14
2019-11-09,2156,4,80287,117,32410901,996337,18337161,15070077,103325952388,3176322356,58458869268,48043405476,3188.0,3188.0,3188.0,3188.0,14073740.0,1398-08-18
2019-11-10,167,0,24508,15,5447825,0,5445361,2464,18233870275,0,18225623267,8247008,3347.0,3347.0,,3347.0,2464.0,1398-08-19
2019-11-26,56,1,13651,18,3283371,100000,2455598,927773,12028440144,368900000,8974815822,3422524322,3663.4422805098784,3654.839196806644,3689.0,3688.967368095429,827773.0,1398-09-05
2019-11-27,47,1,10113,11,1755136,50000,1803233,1903,6752008192,192350000,6937037351,7320841,3847.0,3847.0,3847.0,3847.0,-48097.0,1398-09-06
2019-11-30,62,0,8725,6,1517896,0,1516856,1040,6130781944,0,6126581384,4200560,4039.0,4039.0,,4039.0,1040.0,1398-09-09
2019-12-01,65,0,7860,4,1408937,0,1408245,692,5973892880,0,5970958800,2934080,4240.0,4240.0,,4240.0,692.0,1398-09-10
2019-12-02,105,0,11314,12,2339494,0,2337416,2078,10415427288,0,10406176032,9251256,4452.0,4452.0,,4452.0,2078.0,1398-09-11
2019-12-03,34,0,5688,9,991502,0,989943,1559,4634280348,0,4626993582,7286766,4674.0,4674.0,,4674.0,1559.0,1398-09-12
2019-12-04,44,0,6447,24,1200784,0,1196623,4161,5892247088,0,5871829061,20418027,4907.0,4907.0,,4907.0,4161.0,1398-09-13
2019-12-07,4678,4,28924,39,49089193,410200,24443046,25056347,252089456182,2113350400,125117067073,129085739509,5135.335106894097,5118.718308389224,5152.0,5151.818000804347,24646147.0,1398-09-16
2019-12-08,2926,0,70247,143,29243538,0,29218961,24577,154964893421,0,154836613532,128279889,5299.115771183364,5299.182730419469,,5219.50966350653,24577.0,1398-09-17
