date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-08-10,599588,1267,0,2,67357468,142532,0,67500000,1246113158000,2636842000,0,1248750000000,18500.0,,18500.0,18500.0,67357468.0,1398-05-19
2019-08-11,3,0,534,6,50218,0,49541,677,975484650,0,962333925,13150725,19425.0,19425.0,,19425.0,677.0,1398-05-20
2019-08-13,5,0,1112,3,116927,0,116591,336,2384843092,0,2377990036,6853056,20396.0,20396.0,,20396.0,336.0,1398-05-22
2019-08-14,32,0,3401,10,370377,0,369247,1130,8327926845,0,8302518795,25408050,22485.0,22485.0,,22485.0,1130.0,1398-05-23
2019-08-18,28,0,2888,4,306691,0,306239,452,7240667819,0,7229996551,10671268,23609.0,23609.0,,23609.0,452.0,1398-05-27
2019-08-19,17,0,7233,10,649965,0,648837,1128,16111982385,0,16084020393,27961992,24789.0,24789.0,,24789.0,1128.0,1398-05-28
2019-08-21,27,0,3912,40,445991,0,441591,4400,11608253748,0,11493730548,114523200,26028.0,26028.0,,26028.0,4400.0,1398-05-30
2019-08-24,42,1,6704,10,577602,150000,726542,1060,15785285058,4099350000,19855666318,28968740,27329.0,27329.0,27329.0,27329.0,-148940.0,1398-06-02
2019-08-25,30,0,2702,2,296759,0,296534,225,8515499505,0,8509043130,6456375,28695.0,28695.0,,28695.0,225.0,1398-06-03
2019-08-27,2043,13,71559,166,9870748,371314,10223308,18754,311499308904,11746518390,322653225216,592602078,31557.82205198633,31560.550187473564,31635.0,31598.703103337957,-352560.0,1398-06-05
2019-08-28,1776,7,49561,119,5194892,654323,5835773,13442,159296818602,20139854633,179025002000,411671235,30664.125183353182,30677.17027375808,30779.683173295147,30625.74282100878,-640881.0,1398-06-06
2019-08-31,1659,32,17190,67,2070410,1136000,3198852,7558,63719206936,34977440000,98463946286,232700650,30776.129817765563,30781.025907419287,30790.0,30788.654405927493,-1128442.0,1398-06-09
2019-09-01,2606,2,43454,43,4641810,1500487,6137439,4858,135769972761,43885244750,179513121689,142095822,29249.36021961261,29248.86450016041,29247.334198830114,29249.860436393577,-1495629.0,1398-06-10
2019-09-02,4197,24,100916,75,11420686,3356952,14624362,153276,321315230447,94742342365,411765057580,4292515232,28134.494762136004,28156.104011922023,28222.727749756326,28005.13604217229,-3203676.0,1398-06-11
2019-09-03,424,2,25681,38,3442256,367400,3794365,15291,101080229014,10821103091,111450344135,450987970,29364.52983566591,29372.59439590024,29453.19295318454,29493.68713622392,-352109.0,1398-06-12
2019-09-04,500,28,21639,19,1676170,2333800,4007905,2065,51221219776,71882897214,123040606605,63510385,30558.48737061277,30699.481800342077,30800.795789699205,30755.634382566583,-2331735.0,1398-06-13
2019-09-07,3671,10,26763,62,7543799,2753218,9644588,652429,241770049655,88394467122,309357578370,20806938407,32048.845635335725,32075.76916401198,32105.872881115843,31891.498395994047,-2100789.0,1398-06-16
2019-09-08,3717,6,21051,29,6998155,1141491,7457612,682034,227790837329,37088665449,242689899692,22189603086,32550.127473455505,32542.575249557096,32491.42170109094,32534.452953958305,-459457.0,1398-06-17
2019-09-11,2279,6,10438,17,3682078,188700,3770940,99838,120694367905,6294156170,123650783447,3337740628,32778.87320828076,32790.4404331546,33355.35861155273,33431.56541597388,-88862.0,1398-06-20
2019-09-14,2653,2,17300,21,4515482,960000,4932211,543271,144516266215,30768660956,157828293182,17456633989,32004.615723194114,31999.501477532085,32050.68849583333,32132.46057492485,-416729.0,1398-06-23
2019-09-15,2405,4,10996,65,3628845,1000450,4605116,24179,111954237587,30987548134,142198594340,743191381,30851.2040572138,30878.395753766028,30973.61000949573,30737.06030026056,-976271.0,1398-06-24
2019-09-16,2042,73,7059,18,3248432,559054,3546889,260597,100076356007,17305071037,109249379132,8132047912,30807.58840172736,30801.465490462204,30954.20305909626,31205.45482872021,-298457.0,1398-06-25
2019-09-17,1657,4,6511,17,2342197,59786,2284126,117857,70488409584,1799001652,68729212102,3558199134,30094.996101523484,30089.939041016125,30090.684307362928,30190.81712583894,58071.0,1398-06-26
2019-09-18,2197,6,5552,23,3812868,373388,3878650,307606,109909657931,10693481700,111801853736,8801285895,28825.98032006353,28824.94005285344,28639.060976785546,28612.204882219463,-65782.0,1398-06-27
2019-09-21,865,2,3493,37,2006514,290787,1993234,304067,60528973098,8789297429,60120702653,9197567874,30166.23512121022,30162.390694218542,30225.895342639116,30248.49087207753,13280.0,1398-06-30
2019-09-22,654,3,3222,10,1699753,385300,1717884,367169,53609560599,12181699793,54175067099,11616193293,31539.618167463155,31535.92856036845,31616.142727744613,31637.1842203454,-18131.0,1398-06-31
2019-09-23,1264,7,6512,5,2615398,948749,3363754,200393,84831125299,30788574338,109154952040,6464747597,32435.264269147563,32450.33734333724,32451.75946219706,32260.34640431552,-748356.0,1398-07-01
2019-09-24,1339,8,9409,13,3008633,777595,3684522,101706,94575131158,24460269657,115781707427,3253693388,31434.58546057296,31423.80678606343,31456.31036336396,31991.164611723987,-675889.0,1398-07-02
2019-09-25,1282,16,12363,19,2514303,692196,2804531,401968,77469288378,21593059892,86715223154,12347125116,30811.436958075457,30919.687874371863,31195.008194210888,30716.686691477928,-290228.0,1398-07-03
2019-09-28,318,11,2632,12,1362286,466600,1526757,302129,44173861018,15131479378,49505088118,9800252278,32426.27540619224,32424.99501754372,32429.231414487786,32437.310810944997,-164471.0,1398-07-06
2019-09-29,1336,2,4143,12,6529240,391415,6129364,791291,221637160061,13326897920,208081700379,26882357602,33945.322895314006,33948.33466881719,34048.0,33972.783213760806,399876.0,1398-07-07
2019-09-30,374,0,2174,3,2397005,0,1769070,627935,84639868520,0,62749641640,21890226880,35310.67666525518,35470.411933954,,34860.657361032594,627935.0,1398-07-08
2019-10-01,1771,6,3063,5,6130394,295177,5807039,618532,225720455826,10941069285,213736935151,22924589960,36819.8937663713,36806.52655354993,37066.13077915963,37062.90048049252,323355.0,1398-07-09
2019-10-02,1700,4,3114,8,3587384,80154,3145279,522259,130506680688,2949799945,115112461624,18344019009,36379.3451406373,36598.48987132779,36801.656124460416,35124.37125832202,442105.0,1398-07-10
2019-10-05,1666,57,3448,10,3411052,479430,3186688,703794,121211533074,17262338209,113319288559,25154582724,35534.94144152596,35560.2081405522,36005.96168158021,35741.399790279545,224364.0,1398-07-13
2019-10-06,1470,3,2543,6,3341360,270030,3025986,585404,113238421529,9173265652,102561332712,19850354469,33889.91953246582,33893.52518881449,33971.28338332778,33908.81249359417,315374.0,1398-07-14
2019-10-07,1434,3,3923,7,2732339,24641,1844793,912187,91970100267,860586574,62232973097,30597713744,33659.84245256537,33734.393559060554,34924.98575544824,33543.2468824923,887546.0,1398-07-15
2019-10-08,929,2,1946,3,1474723,168180,1056683,586220,47589891058,5385185180,34189192424,18785883814,32270.393191128096,32355.2024817282,32020.366155309788,32045.791365016543,418040.0,1398-07-16
2019-10-09,1676,5,4444,23,4365251,577740,2853722,2089269,134166490035,17851471446,87821151308,64196810173,30735.11466694584,30774.248966087096,30898.797808702875,30726.92418879522,1511529.0,1398-07-17
2019-10-12,1336,2,2726,98,2499639,48022,1732808,814853,79876094572,1536891179,55300804303,26112181448,31955.05213832877,31913.982566447063,32003.897776019323,32045.26638301632,766831.0,1398-07-20
2019-10-13,1179,0,3071,1,1737041,0,1695498,41543,55497689910,0,54152778862,1344911048,31949.55669440157,31939.1582072052,,32373.95103868281,41543.0,1398-07-21
2019-10-14,1133,2,240,1,1013852,28340,892192,150000,30804402819,860292411,27108069666,4556625564,30383.530159234288,30383.67264669488,30356.11894848271,30377.50376,121660.0,1398-07-22
2019-10-15,673,0,350,3,779921,0,732804,47117,22753592209,0,21340207639,1413384570,29174.226888364334,29121.303430385204,,29997.337903516775,47117.0,1398-07-23
2019-10-16,1257,3,1859,5,2802599,101300,2396516,507383,77919836994,2807967600,66636777366,14091027228,27802.706342933827,27805.68849362992,27719.324777887465,27771.973495367405,406083.0,1398-07-24
2019-10-20,475,0,385,1,663310,0,640617,22693,17686628981,0,17055990511,630638470,26664.19770695452,26624.31766718648,,27790.0,22693.0,1398-07-28
2019-10-21,897,3,2197,2,2140793,259957,2351876,48874,55291422916,6637080464,60611905380,1316598000,25827.54283856496,25771.72664715317,25531.45506372208,26938.61766992675,-211083.0,1398-07-29
2019-10-22,876,0,1324,5,2344374,0,1554251,790123,63276830769,0,41879131599,21397699170,26990.928396663672,26944.896029663163,,27081.478668511107,790123.0,1398-07-30
2019-10-23,772,1,1738,6,1044618,500,1044441,677,28071128093,13250000,28066362937,18015156,26872.146653609263,26872.138241413348,26500.0,26610.274741506648,177.0,1398-08-01
2019-10-26,598,1,1632,2,838468,2200,840510,158,22454135081,59090728,22508968583,4257226,26779.954728147048,26780.131804499648,26859.421818181818,26944.46835443038,-2042.0,1398-08-04
2019-10-28,404,3,1392,2,1047643,71500,1119029,114,29363596025,2010158911,31370557382,3197554,28028.24628714171,28033.730477047517,28114.11064335664,28048.71929824561,-71386.0,1398-08-06
2019-10-30,1071,0,1282,18,1559528,0,857834,701694,45720813989,0,25107848257,20612965732,29317.084392841934,29268.8891522136,,29376.0039732419,701694.0,1398-08-08
2019-11-02,1139,2,1593,6,1632450,2800,1617685,17565,46738185725,80013487,46303665040,514534172,28630.699699837667,28623.41249377969,28576.245357142856,29293.149558781668,14765.0,1398-08-11
2019-11-03,774,1,1368,8,1147568,300,1099077,48791,32604656002,8400000,31216039747,1397016255,28411.95990302971,28402.049853649925,28000.0,28632.662888647497,48491.0,1398-08-12
2019-11-04,1069,1,1176,3,1781533,1000,1767227,15306,48410072710,27405986,48024083931,413394765,27173.26746683895,27174.824700505367,27405.986,27008.674049392397,14306.0,1398-08-13
2019-11-05,757,0,1000,3,1311861,0,970220,341641,35191032283,0,26010450367,9180581916,26825.275149577585,26808.816935334253,,26872.014529872,341641.0,1398-08-14
2019-11-09,671,0,1073,3,996836,0,957823,39013,27302377796,0,26231155013,1071222783,27389.03670814457,27386.223773077072,,27458.09814677159,39013.0,1398-08-18
2019-11-10,581,1,990,1,933104,700,933691,113,24821158524,18480700,24836567884,3071340,26600.63457449545,26600.414788190097,26401.0,27180.0,-587.0,1398-08-19
2019-11-11,543,3,1167,2,809184,61100,859171,11113,22047557710,1675603626,23421435476,301725860,27246.655531992725,27260.50515671502,27423.954599018005,27150.71177899757,-49987.0,1398-08-20
2019-11-12,558,2,1217,9,873873,31830,904687,1016,24131572788,856846935,24960370775,28048948,27614.507815208846,27590.062391744326,26919.47643732328,27607.232283464567,-30814.0,1398-08-21
2019-11-13,509,3,1073,1,725196,111618,836701,113,19950452051,3084702519,23032034188,3120382,27510.427596125737,27527.19811258741,27636.24611621781,27614.0,-111505.0,1398-08-22
2019-11-16,434,1,999,2,852621,218,852613,226,23212985273,5884692,23212695080,6174885,27225.443981558044,27225.359078503378,26994.0,27322.5,8.0,1398-08-25
2019-11-17,794,0,759,2,1531021,0,1497908,33113,39727965492,0,38869774356,858191136,25948.674441434832,25949.37363042323,,25917.04575242352,33113.0,1398-08-26
2019-11-18,387,3,671,4,686977,42846,622641,107182,18119986967,1132804515,16465167360,2787624122,26376.409933665906,26444.078305154977,26438.97948466601,26008.323431173143,64336.0,1398-08-27
2019-11-19,389,0,816,0,704440,0,704440,0,18877864942,0,18877864942,0,26798.40006530009,26798.40006530009,,,0.0,1398-08-28
2019-11-20,402,0,928,0,652395,0,652395,0,17499129084,0,17499129084,0,26822.9049640172,26822.9049640172,,,0.0,1398-08-29
