date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-03-13,0,1,2,0,0,1000000,1000000,0,0,2200000000,2200000000,0,,2200.0,2200.0,,-1000000.0,1391-12-23
2013-03-17,3,0,4,2,41900000,0,23400000,18500000,92180000000,0,51480000000,40700000000,2200.0,2200.0,,2200.0,18500000.0,1391-12-27
2013-03-18,2,0,1,2,7375000,0,7040000,335000,16225000000,0,15488000000,737000000,2200.0,2200.0,,2200.0,335000.0,1391-12-28
2013-04-09,1,0,1,0,500000,0,500000,0,1100000000,0,1100000000,0,2200.0,2200.0,,,0.0,1392-01-20
2013-04-15,1,0,0,1,50,0,0,50,110000,0,0,110000,2200.0,,,2200.0,50.0,1392-01-26
2013-04-20,3,0,3,0,5000000,0,5000000,0,10450000000,0,10450000000,0,2090.0,2090.0,,,0.0,1392-01-31
2013-04-28,1,0,1,1,1000000,0,900000,100000,2047800000,0,1845000000,202800000,2047.8,2050.0,,2028.0,100000.0,1392-02-08
2013-05-07,0,2,2,3,0,6984739,5510000,1474739,0,14190235472,11170450000,3019785472,,2027.304900181488,2031.605686626229,2047.6745186775424,-5510000.0,1392-02-17
2013-06-11,1,0,1,0,500,0,500,0,965500,0,965500,0,1931.0,1931.0,,,0.0,1392-03-21
2013-06-15,1,0,3,0,571427,0,571427,0,1102854110,0,1102854110,0,1930.0,1930.0,,,0.0,1392-03-25
2013-06-26,4,0,2,1,802510,0,162855,639655,1526169200,0,309424500,1216744700,1901.744775766034,1900.0,,1902.1889925037715,639655.0,1392-04-05
2013-06-29,2,0,2,0,26641,0,26641,0,48166928,0,48166928,0,1808.0,1808.0,,,0.0,1392-04-08
2013-06-30,2,0,0,1,1617436,0,0,1617436,2992256600,0,0,2992256600,1850.0,,,1850.0,1617436.0,1392-04-09
2013-07-06,2,0,1,0,142855,0,142855,0,273453005,0,273453005,0,1914.19974799622,1914.19974799622,,,0.0,1392-04-15
2013-07-14,2,0,1,0,8728,0,8728,0,17534552,0,17534552,0,2009.0,2009.0,,,0.0,1392-04-23
2013-07-16,5,0,5,0,693771,0,693771,0,1394264510,0,1394264510,0,2009.6898111913008,2009.6898111913008,,,0.0,1392-04-25
2013-07-17,1,0,1,0,1500,0,1500,0,3165000,0,3165000,0,2110.0,2110.0,,,0.0,1392-04-26
2013-08-20,1,0,1,0,100000,0,100000,0,230000000,0,230000000,0,2300.0,2300.0,,,0.0,1392-05-29
2013-09-08,1,0,1,0,500,0,500,0,1057000,0,1057000,0,2114.0,2114.0,,,0.0,1392-06-17
2013-09-15,1,0,1,0,1000,0,1000,0,2500000,0,2500000,0,2500.0,2500.0,,,0.0,1392-06-24
2013-09-21,3,0,1,0,58500,0,58500,0,175500000,0,175500000,0,3000.0,3000.0,,,0.0,1392-06-30
2013-11-19,3,0,2,0,107000,0,107000,0,131289000,0,131289000,0,1227.0,1227.0,,,0.0,1392-08-28
2013-11-25,2,0,2,0,50000,0,50000,0,75300000,0,75300000,0,1506.0,1506.0,,,0.0,1392-09-04
2013-11-26,3,0,3,0,101809,0,101809,0,161265456,0,161265456,0,1584.0,1584.0,,,0.0,1392-09-05
2013-12-01,1,0,1,0,5000,0,5000,0,8515000,0,8515000,0,1703.0,1703.0,,,0.0,1392-09-10
2013-12-04,10,0,4,0,93300,0,93300,0,175124100,0,175124100,0,1877.0,1877.0,,,0.0,1392-09-13
2013-12-08,2,0,6,0,19000,0,19000,0,37430000,0,37430000,0,1970.0,1970.0,,,0.0,1392-09-17
2013-12-09,4,0,7,0,39000,0,39000,0,80652000,0,80652000,0,2068.0,2068.0,,,0.0,1392-09-18
2013-12-10,5,0,5,0,13171,0,13171,0,28594241,0,28594241,0,2171.0,2171.0,,,0.0,1392-09-19
2013-12-11,4,0,3,0,37000,0,37000,0,84323000,0,84323000,0,2279.0,2279.0,,,0.0,1392-09-20
2013-12-14,14,0,14,0,290582,0,290582,0,656036590,0,656036590,0,2257.664239354124,2257.664239354124,,,0.0,1392-09-23
2013-12-15,5,0,3,0,105217,0,105217,0,249364290,0,249364290,0,2370.0,2370.0,,,0.0,1392-09-24
2013-12-16,8,0,4,0,53363,0,53363,0,132767144,0,132767144,0,2488.0,2488.0,,,0.0,1392-09-25
2013-12-17,6,0,7,0,94967,0,94967,0,248053804,0,248053804,0,2612.0,2612.0,,,0.0,1392-09-26
2013-12-21,9,1,6,0,115841,1000,116841,0,317553484,2742000,320295484,0,2741.287488885628,2741.293587011409,2742.0,,-1000.0,1392-09-30
2013-12-22,1,0,1,0,10000,0,10000,0,26040000,0,26040000,0,2604.0,2604.0,,,0.0,1392-10-01
2013-12-24,2,0,2,0,22162,0,22162,0,55903568,0,55903568,0,2522.496525584333,2522.496525584333,,,0.0,1392-10-03
2013-12-25,7,0,3,0,64000,0,64000,0,153358000,0,153358000,0,2396.21875,2396.21875,,,0.0,1392-10-04
2013-12-28,1,0,6,0,124456,0,124456,0,312976855,0,312976855,0,2514.7590714790767,2514.7590714790767,,,0.0,1392-10-07
2013-12-29,18,0,5,0,249814,0,249814,0,650139460,0,650139460,0,2602.494095607132,2602.494095607132,,,0.0,1392-10-08
2013-12-30,0,1,8,0,0,100000,100000,0,0,273200000,273200000,0,,2732.0,2732.0,,-100000.0,1392-10-09
2014-01-01,1,0,1,0,2500,0,2500,0,6750000,0,6750000,0,2700.0,2700.0,,,0.0,1392-10-11
2014-01-04,1,0,1,0,500,0,500,0,1284500,0,1284500,0,2569.0,2569.0,,,0.0,1392-10-14
2014-01-05,3,1,3,0,15195,10,15205,0,37119855,26000,37145855,0,2442.8993089832184,2443.002630713581,2600.0,,-10.0,1392-10-15
2014-01-06,2,0,7,0,63278,0,63278,0,162291224,0,162291224,0,2564.733777932299,2564.733777932299,,,0.0,1392-10-16
2014-01-07,1,0,3,0,3412,0,3412,0,8872130,0,8872130,0,2600.2725674091444,2600.2725674091444,,,0.0,1392-10-17
2014-01-11,3,0,2,0,7500,0,7500,0,18689500,0,18689500,0,2491.9333333333334,2491.9333333333334,,,0.0,1392-10-21
2014-01-13,3,0,2,0,107897,0,107897,0,255520096,0,255520096,0,2368.185361965578,2368.185361965578,,,0.0,1392-10-23
2014-01-14,5,1,4,0,27604,30000,57604,0,62269000,68990000,131259000,0,2255.79626141139,2278.643844177488,2299.6666666666665,,-30000.0,1392-10-24
2014-01-15,3,0,1,0,25000,0,25000,0,54150000,0,54150000,0,2166.0,2166.0,,,0.0,1392-10-25
2014-01-18,4,0,3,0,85170,0,85170,0,175279860,0,175279860,0,2058.0,2058.0,,,0.0,1392-10-28
2014-01-20,3,0,2,0,51285,0,51285,0,100342530,0,100342530,0,1956.5668324071369,1956.5668324071369,,,0.0,1392-10-30
2014-01-21,3,0,2,0,147500,0,147500,0,275100000,0,275100000,0,1865.084745762712,1865.084745762712,,,0.0,1392-11-01
2014-01-22,1,0,2,0,20000,0,20000,0,35440000,0,35440000,0,1772.0,1772.0,,,0.0,1392-11-02
2014-01-25,1,0,1,0,5848,0,5848,0,10000080,0,10000080,0,1710.0,1710.0,,,0.0,1392-11-05
2014-01-26,2,0,2,0,21686,0,21686,0,35251436,0,35251436,0,1625.5388730056256,1625.5388730056256,,,0.0,1392-11-06
2014-01-27,2,0,2,0,15000,0,15000,0,24160000,0,24160000,0,1610.6666666666667,1610.6666666666667,,,0.0,1392-11-07
2014-01-28,7,0,3,0,168334,0,168334,0,267226554,0,267226554,0,1587.4781921655756,1587.4781921655756,,,0.0,1392-11-08
2014-01-29,1,0,1,0,10000,0,10000,0,16660000,0,16660000,0,1666.0,1666.0,,,0.0,1392-11-09
2014-02-01,2,0,3,0,40770,0,40770,0,71306730,0,71306730,0,1749.0,1749.0,,,0.0,1392-11-12
2014-02-02,2,0,1,0,50000,0,50000,0,91800000,0,91800000,0,1836.0,1836.0,,,0.0,1392-11-13
2014-02-03,11,0,5,0,158386,0,158386,0,300828523,0,300828523,0,1899.33783920296,1899.33783920296,,,0.0,1392-11-14
2014-02-04,2,0,2,0,57718,0,57718,0,104180990,0,104180990,0,1805.0,1805.0,,,0.0,1392-11-15
2014-02-09,2,0,2,0,7905,0,7905,0,14424270,0,14424270,0,1824.702087286528,1824.702087286528,,,0.0,1392-11-20
2014-02-10,2,0,1,0,9396,0,9396,0,16443000,0,16443000,0,1750.0,1750.0,,,0.0,1392-11-21
2014-02-12,5,0,4,0,64406,0,64406,0,107311282,0,107311282,0,1666.169021519734,1666.169021519734,,,0.0,1392-11-23
2014-02-15,3,0,4,0,37190,0,37190,0,65023927,0,65023927,0,1748.425033611186,1748.425033611186,,,0.0,1392-11-26
2014-02-16,2,0,3,0,24900,0,24900,0,43124316,0,43124316,0,1731.9002409638554,1731.9002409638554,,,0.0,1392-11-27
2014-02-17,4,0,5,0,41384,0,41384,0,72744400,0,72744400,0,1757.7904504156195,1757.7904504156195,,,0.0,1392-11-28
2014-02-19,2,0,1,0,10000,0,10000,0,17795000,0,17795000,0,1779.5,1779.5,,,0.0,1392-11-30
2014-02-22,6,0,4,0,172123,0,172123,0,320836641,0,320836641,0,1863.996334016953,1863.996334016953,,,0.0,1392-12-03
2014-02-23,3,0,5,0,50507,0,50507,0,95623261,0,95623261,0,1893.267487674976,1893.267487674976,,,0.0,1392-12-04
2014-03-04,1,0,1,0,2000,0,2000,0,3598000,0,3598000,0,1799.0,1799.0,,,0.0,1392-12-13
2014-03-05,2,0,3,0,72360,0,72360,0,124117520,0,124117520,0,1715.2780541735765,1715.2780541735765,,,0.0,1392-12-14
2014-03-08,3,0,3,0,35165,0,35165,0,57323950,0,57323950,0,1630.1421868334992,1630.1421868334992,,,0.0,1392-12-17
2014-03-09,1,0,1,0,1000,0,1000,0,1570000,0,1570000,0,1570.0,1570.0,,,0.0,1392-12-18
2014-03-11,2,0,1,0,10000,0,10000,0,14935599,0,14935599,0,1493.5599,1493.5599,,,0.0,1392-12-20
2014-03-15,1,0,2,0,2059,0,2059,0,3228512,0,3228512,0,1568.0,1568.0,,,0.0,1392-12-24
2014-03-16,1,0,2,0,2100,0,2100,0,3456600,0,3456600,0,1646.0,1646.0,,,0.0,1392-12-25
2014-03-17,1,0,2,0,2100,0,2100,0,3628800,0,3628800,0,1728.0,1728.0,,,0.0,1392-12-26
2014-03-18,2,0,3,0,11400,0,11400,0,20679600,0,20679600,0,1814.0,1814.0,,,0.0,1392-12-27
2014-03-19,3,0,2,0,6480,0,6480,0,12175400,0,12175400,0,1878.91975308642,1878.91975308642,,,0.0,1392-12-28
2014-03-25,2,0,3,0,31357,0,31357,0,58941160,0,58941160,0,1879.6810919411928,1879.6810919411928,,,0.0,1393-01-05
2014-04-20,2,0,3,0,111142,0,111142,0,208343926,0,208343926,0,1874.5742023717407,1874.5742023717407,,,0.0,1393-01-31
2014-04-26,2,0,2,0,4000,0,4000,0,7562000,0,7562000,0,1890.5,1890.5,,,0.0,1393-02-06
2014-04-27,2,0,3,0,5470,0,5470,0,10287360,0,10287360,0,1880.6873857404023,1880.6873857404023,,,0.0,1393-02-07
2014-04-30,1,0,1,0,1000,0,1000,0,1886000,0,1886000,0,1886.0,1886.0,,,0.0,1393-02-10
2014-05-05,1,0,2,0,2000,0,2000,0,3772000,0,3772000,0,1886.0,1886.0,,,0.0,1393-02-15
2014-05-10,2,0,1,0,6072,0,6072,0,10966032,0,10966032,0,1806.0,1806.0,,,0.0,1393-02-20
2014-05-12,1,0,1,0,1500,0,1500,0,2574000,0,2574000,0,1716.0,1716.0,,,0.0,1393-02-22
2014-05-14,4,0,2,0,66341,0,66341,0,108310581,0,108310581,0,1632.6341327384273,1632.6341327384273,,,0.0,1393-02-24
2014-05-17,1,0,4,0,100000,0,100000,0,155200000,0,155200000,0,1552.0,1552.0,,,0.0,1393-02-27
2014-05-19,4,0,1,0,207000,0,207000,0,305425000,0,305425000,0,1475.4830917874397,1475.4830917874397,,,0.0,1393-02-29
2014-05-20,6,0,3,0,136023,0,136023,0,195656434,0,195656434,0,1438.4069899943393,1438.4069899943393,,,0.0,1393-02-30
2014-05-21,1,0,1,0,20516,0,20516,0,30958644,0,30958644,0,1509.0,1509.0,,,0.0,1393-02-31
2014-05-24,1,0,1,0,10000,0,10000,0,15800000,0,15800000,0,1580.0,1580.0,,,0.0,1393-03-03
2014-05-31,1,0,2,0,18641,0,18641,0,27980141,0,27980141,0,1501.0,1501.0,,,0.0,1393-03-10
2014-06-01,4,0,3,0,91264,0,91264,0,130142464,0,130142464,0,1426.0,1426.0,,,0.0,1393-03-11
2014-06-02,3,0,1,0,5000,0,5000,0,6775000,0,6775000,0,1355.0,1355.0,,,0.0,1393-03-12
2014-06-03,2,0,2,0,15000,0,15000,0,20975000,0,20975000,0,1398.3333333333333,1398.3333333333333,,,0.0,1393-03-13
2014-06-09,1,0,1,1,28851,0,10000,18851,38342979,0,13290000,25052979,1329.0,1329.0,,1329.0,18851.0,1393-03-19
2014-06-10,1,0,0,1,10000,0,0,10000,13080000,0,0,13080000,1308.0,,,1308.0,10000.0,1393-03-20
2014-06-11,7,0,2,1,939004,0,25000,914004,1170878768,0,31115780,1139762988,1246.9369331760035,1244.6312,,1247.0,914004.0,1393-03-21
2014-06-14,1,0,1,0,3250,0,3250,0,4043000,0,4043000,0,1244.0,1244.0,,,0.0,1393-03-24
2014-06-16,1,0,2,0,10000,0,10000,0,12883250,0,12883250,0,1288.325,1288.325,,,0.0,1393-03-26
2014-06-17,1,0,1,0,10000,0,10000,0,12300000,0,12300000,0,1230.0,1230.0,,,0.0,1393-03-27
2014-06-18,1,0,2,0,10750,0,10750,0,13878250,0,13878250,0,1291.0,1291.0,,,0.0,1393-03-28
2014-06-21,1,0,1,0,10000,0,10000,0,13550000,0,13550000,0,1355.0,1355.0,,,0.0,1393-03-31
2014-06-22,6,0,4,0,29458,0,29458,0,41889276,0,41889276,0,1422.0,1422.0,,,0.0,1393-04-01
2014-06-23,2,0,3,0,10500,0,10500,0,15624510,0,15624510,0,1488.0485714285714,1488.0485714285714,,,0.0,1393-04-02
2014-06-24,2,0,4,0,79190,0,79190,0,112160592,0,112160592,0,1416.3479227175148,1416.3479227175148,,,0.0,1393-04-03
2014-06-28,2,0,1,0,6091,0,6091,0,8198486,0,8198486,0,1346.0,1346.0,,,0.0,1393-04-07
2014-06-30,3,0,2,0,22000,0,22000,0,28249456,0,28249456,0,1284.0661818181818,1284.0661818181818,,,0.0,1393-04-09
2014-07-02,1,0,3,0,14548,0,14548,0,19605704,0,19605704,0,1347.6563101457243,1347.6563101457243,,,0.0,1393-04-11
2014-07-05,8,0,3,0,121012,0,121012,0,171231980,0,171231980,0,1415.0,1415.0,,,0.0,1393-04-14
2014-07-07,1,0,2,0,5452,0,5452,0,8086768,0,8086768,0,1483.266324284666,1483.266324284666,,,0.0,1393-04-16
2014-07-12,2,0,1,0,11376,0,11376,0,16893360,0,16893360,0,1485.0,1485.0,,,0.0,1393-04-21
2014-07-14,3,0,2,0,30340,0,30340,0,44984180,0,44984180,0,1482.6690837178642,1482.6690837178642,,,0.0,1393-04-23
2014-07-15,1,0,1,0,675,0,675,0,996975,0,996975,0,1477.0,1477.0,,,0.0,1393-04-24
2014-08-20,1,0,1,0,1548,0,1548,0,2044908,0,2044908,0,1321.0,1321.0,,,0.0,1393-05-29
2014-08-24,1,0,1,0,16065,0,16065,0,20884500,0,20884500,0,1300.0,1300.0,,,0.0,1393-06-02
2014-08-31,1,0,2,0,5700,0,5700,0,7125000,0,7125000,0,1250.0,1250.0,,,0.0,1393-06-09
2014-09-03,2,0,2,0,50000,0,50000,0,60030000,0,60030000,0,1200.6,1200.6,,,0.0,1393-06-12
2014-09-10,5,0,4,0,130505,0,130505,0,158070772,0,158070772,0,1211.2238764798285,1211.2238764798285,,,0.0,1393-06-19
2014-09-14,6,0,3,0,202855,0,202855,0,227527455,0,227527455,0,1121.6260629513692,1121.6260629513692,,,0.0,1393-06-23
2014-09-15,5,0,2,0,36500,0,36500,0,40083210,0,40083210,0,1098.1701369863013,1098.1701369863013,,,0.0,1393-06-24
2014-09-17,2,0,2,0,12265,0,12265,0,12785850,0,12785850,0,1042.4663677130045,1042.4663677130045,,,0.0,1393-06-26
2014-09-21,1,0,1,0,20000,0,20000,0,25600000,0,25600000,0,1280.0,1280.0,,,0.0,1393-06-30
2014-09-28,0,1,1,0,0,15713,15713,0,0,18808461,18808461,0,,1197.0,1197.0,,-15713.0,1393-07-06
2014-09-29,1,1,2,0,5000,15713,20713,0,6120000,18855600,24975600,0,1224.0,1205.7934630425336,1200.0,,-15713.0,1393-07-07
2014-10-01,1,1,2,0,9900,1000,10900,0,11701800,1295000,12996800,0,1182.0,1192.366972477064,1295.0,,-1000.0,1393-07-09
2014-10-06,1,0,1,0,20000,0,20000,0,25020000,0,25020000,0,1251.0,1251.0,,,0.0,1393-07-14
2014-10-08,1,0,1,0,5000,0,5000,0,5950000,0,5950000,0,1190.0,1190.0,,,0.0,1393-07-16
2014-10-19,1,0,1,0,13510,0,13510,0,16873990,0,16873990,0,1249.0,1249.0,,,0.0,1393-07-27
2014-10-20,1,0,2,0,25000,0,25000,0,32755000,0,32755000,0,1310.2,1310.2,,,0.0,1393-07-28
2014-10-21,0,2,4,0,0,29000,29000,0,0,39545000,39545000,0,,1363.6206896551723,1363.6206896551723,,-29000.0,1393-07-29
2014-10-22,1,0,2,0,292,0,292,0,379600,0,379600,0,1300.0,1300.0,,,0.0,1393-07-30
2014-10-25,5,0,2,0,282142,0,282142,0,385123830,0,385123830,0,1365.0,1365.0,,,0.0,1393-08-03
2014-10-26,5,0,4,0,133113,0,133113,0,190750929,0,190750929,0,1433.0,1433.0,,,0.0,1393-08-04
2014-10-27,2,0,3,0,36960,0,36960,0,55587840,0,55587840,0,1504.0,1504.0,,,0.0,1393-08-05
2014-10-28,12,0,7,0,314750,0,314750,0,485813146,0,485813146,0,1543.4889467831613,1543.4889467831613,,,0.0,1393-08-06
2014-10-29,1,0,1,0,5000,0,5000,0,8095000,0,8095000,0,1619.0,1619.0,,,0.0,1393-08-07
2014-11-02,3,0,6,0,45000,0,45000,0,79100000,0,79100000,0,1757.7777777777778,1757.7777777777778,,,0.0,1393-08-11
2014-11-05,2,0,1,0,5000,0,5000,0,8355000,0,8355000,0,1671.0,1671.0,,,0.0,1393-08-14
2014-11-08,5,0,2,0,67006,0,67006,0,106407138,0,106407138,0,1588.024027699012,1588.024027699012,,,0.0,1393-08-17
2014-11-09,2,0,3,0,4600,0,4600,0,7131000,0,7131000,0,1550.2173913043478,1550.2173913043478,,,0.0,1393-08-18
2014-11-10,1,0,2,0,5000,0,5000,0,8135000,0,8135000,0,1627.0,1627.0,,,0.0,1393-08-19
2014-11-12,2,0,2,0,21000,0,21000,0,33508000,0,33508000,0,1595.6190476190477,1595.6190476190477,,,0.0,1393-08-21
2014-11-16,4,0,2,0,49471,0,49471,0,75047507,0,75047507,0,1517.0,1517.0,,,0.0,1393-08-25
2014-11-17,3,0,2,0,36317,0,36317,0,52369114,0,52369114,0,1442.0,1442.0,,,0.0,1393-08-26
2014-11-22,1,0,1,0,30000,0,30000,0,44100000,0,44100000,0,1470.0,1470.0,,,0.0,1393-09-01
2014-11-23,3,0,3,0,24960,0,24960,0,38488400,0,38488400,0,1542.003205128205,1542.003205128205,,,0.0,1393-09-02
2014-11-24,3,0,3,0,12100,0,12100,0,19586800,0,19586800,0,1618.743801652893,1618.743801652893,,,0.0,1393-09-03
2014-11-25,1,0,2,0,8100,0,8100,0,12500000,0,12500000,0,1543.20987654321,1543.20987654321,,,0.0,1393-09-04
2014-11-26,1,0,2,0,20000,0,20000,0,29320000,0,29320000,0,1466.0,1466.0,,,0.0,1393-09-05
2014-12-01,3,0,1,1,58004,0,18004,40000,80869572,0,25079572,55790000,1394.2068133232192,1393.0,,1394.75,40000.0,1393-09-10
2014-12-02,6,1,4,1,1012230,2410000,3052230,370000,1385384750,3193250000,4065714750,512920000,1368.6462068897386,1332.0473063956515,1325.0,1386.2702702702702,-2040000.0,1393-09-11
2014-12-03,4,0,2,0,26929,0,26929,0,36025506,0,36025506,0,1337.7959077574362,1337.7959077574362,,,0.0,1393-09-12
2014-12-06,1,1,3,0,200,12000,12200,0,280600,16848000,17128600,0,1403.0,1403.983606557377,1404.0,,-12000.0,1393-09-15
2014-12-07,2,0,2,0,12200,0,12200,0,16480800,0,16480800,0,1350.885245901639,1350.885245901639,,,0.0,1393-09-16
2014-12-14,1,0,1,0,10000,0,10000,0,13500000,0,13500000,0,1350.0,1350.0,,,0.0,1393-09-23
2014-12-15,2,0,3,0,41715,0,41715,0,56190750,0,56190750,0,1347.0154620640058,1347.0154620640058,,,0.0,1393-09-24
2014-12-16,2,0,1,0,24170,0,24170,0,31351770,0,31351770,0,1297.135705419942,1297.135705419942,,,0.0,1393-09-25
2014-12-17,1,0,1,0,8565,0,8565,0,11562750,0,11562750,0,1350.0,1350.0,,,0.0,1393-09-26
2014-12-20,2,0,2,0,15850,0,15850,0,21789450,0,21789450,0,1374.7287066246056,1374.7287066246056,,,0.0,1393-09-29
2014-12-22,2,0,3,0,27800,0,27800,0,40115400,0,40115400,0,1443.0,1443.0,,,0.0,1393-10-01
2014-12-27,5,1,4,0,6067000,5000,6072000,0,8757701000,7575000,8765276000,0,1443.4977748475358,1443.556653491436,1515.0,,-5000.0,1393-10-06
2014-12-28,2,1,1,1,22000,10000,20000,12000,31196000,14300000,28600000,16896000,1418.0,1430.0,1430.0,1408.0,2000.0,1393-10-07
2014-12-29,3,0,2,0,79744,0,79744,0,111088880,0,111088880,0,1393.068820224719,1393.068820224719,,,0.0,1393-10-08
2015-01-05,2,0,5,0,210100,0,210100,0,302355840,0,302355840,0,1439.1044264635889,1439.1044264635889,,,0.0,1393-10-15
2015-01-12,1,0,1,0,10000,0,10000,0,14990000,0,14990000,0,1499.0,1499.0,,,0.0,1393-10-22
2015-01-14,2,0,1,1,54000,0,4000,50000,77496000,0,5996000,71500000,1435.111111111111,1499.0,,1430.0,50000.0,1393-10-24
2015-01-17,2,0,0,1,70000,0,0,70000,96420000,0,0,96420000,1377.428571428571,,,1377.428571428571,70000.0,1393-10-27
2015-01-19,3,0,2,0,135000,0,135000,0,178685000,0,178685000,0,1323.5925925925926,1323.5925925925926,,,0.0,1393-10-29
2015-01-21,3,0,1,0,140000,0,140000,0,183260000,0,183260000,0,1309.0,1309.0,,,0.0,1393-11-01
2015-01-24,1,0,1,0,1000,0,1000,0,1374000,0,1374000,0,1374.0,1374.0,,,0.0,1393-11-04
2015-02-02,3,0,1,0,79790,0,79790,0,104225740,0,104225740,0,1306.25065797719,1306.25065797719,,,0.0,1393-11-13
2015-02-07,1,0,1,0,10000,0,10000,0,13710000,0,13710000,0,1371.0,1371.0,,,0.0,1393-11-18
2015-02-10,1,0,1,0,1902,0,1902,0,2605740,0,2605740,0,1370.0,1370.0,,,0.0,1393-11-21
2015-02-15,1,0,5,0,150000,0,150000,0,205430000,0,205430000,0,1369.5333333333333,1369.5333333333333,,,0.0,1393-11-26
2015-02-16,1,0,1,0,5000,0,5000,0,6520000,0,6520000,0,1304.0,1304.0,,,0.0,1393-11-27
2015-02-18,7,0,1,1,2639491,0,629491,2010000,3563312850,0,849812850,2713500000,1350.0,1350.0,,1350.0,2010000.0,1393-11-29
2015-02-21,3,0,4,0,36900,0,36900,0,52287300,0,52287300,0,1417.0,1417.0,,,0.0,1393-12-02
2015-02-22,3,0,5,0,59715,0,59715,0,88556670,0,88556670,0,1482.9886963074605,1482.9886963074605,,,0.0,1393-12-03
2015-02-23,1,0,2,0,20000,0,20000,0,28180000,0,28180000,0,1409.0,1409.0,,,0.0,1393-12-04
2015-02-24,1,0,1,0,1000,0,1000,0,1477000,0,1477000,0,1477.0,1477.0,,,0.0,1393-12-05
2015-02-25,2,0,1,0,13855,0,13855,0,19452420,0,19452420,0,1404.0,1404.0,,,0.0,1393-12-06
2015-03-03,3,0,1,0,45000,0,45000,0,60300000,0,60300000,0,1340.0,1340.0,,,0.0,1393-12-12
2015-03-14,1,0,2,0,10225,0,10225,0,14315000,0,14315000,0,1400.0,1400.0,,,0.0,1393-12-23
2015-03-15,1,0,3,0,15000,0,15000,0,22046400,0,22046400,0,1469.76,1469.76,,,0.0,1393-12-24
2015-03-16,1,0,1,0,1000,0,1000,0,1487000,0,1487000,0,1487.0,1487.0,,,0.0,1393-12-25
2015-03-17,3,0,3,0,115500,0,115500,0,163201500,0,163201500,0,1413.0,1413.0,,,0.0,1393-12-26
2015-03-28,1,0,1,0,55688,0,55688,0,78687144,0,78687144,0,1413.0,1413.0,,,0.0,1394-01-08
2015-04-04,1,0,1,0,1640,0,1640,0,2432120,0,2432120,0,1483.0,1483.0,,,0.0,1394-01-15
2015-04-05,5,0,5,0,102190,0,102190,0,159005830,0,159005830,0,1555.9822878950974,1555.9822878950974,,,0.0,1394-01-16
2015-04-06,1,0,1,0,235,0,235,0,365895,0,365895,0,1557.0,1557.0,,,0.0,1394-01-17
2015-04-07,1,0,1,0,300000,0,300000,0,450000000,0,450000000,0,1500.0,1500.0,,,0.0,1394-01-18
2015-04-13,4,0,2,0,79332,0,79332,0,115798100,0,115798100,0,1459.6644481419855,1459.6644481419855,,,0.0,1394-01-24
2015-04-14,3,0,3,0,57980,0,57980,0,88830360,0,88830360,0,1532.0862366333215,1532.0862366333215,,,0.0,1394-01-25
2015-04-21,1,0,1,0,20000,0,20000,0,30600000,0,30600000,0,1530.0,1530.0,,,0.0,1394-02-01
2015-04-22,3,0,4,0,54996,0,54996,0,84825880,0,84825880,0,1542.4009018837733,1542.4009018837733,,,0.0,1394-02-02
2015-04-26,2,0,2,0,30000,0,30000,0,45000000,0,45000000,0,1500.0,1500.0,,,0.0,1394-02-06
2015-04-28,2,0,1,0,19195,0,19195,0,28792500,0,28792500,0,1500.0,1500.0,,,0.0,1394-02-08
2015-05-05,1,0,1,0,5000,0,5000,0,7500000,0,7500000,0,1500.0,1500.0,,,0.0,1394-02-15
2015-05-24,1,0,1,0,3000,0,3000,0,4500000,0,4500000,0,1500.0,1500.0,,,0.0,1394-03-03
2015-05-26,1,0,1,0,34599,0,34599,0,51898500,0,51898500,0,1500.0,1500.0,,,0.0,1394-03-05
2015-05-27,1,0,1,0,22500,0,22500,0,33750000,0,33750000,0,1500.0,1500.0,,,0.0,1394-03-06
2015-06-13,2,0,1,0,27401,0,27401,0,37100954,0,37100954,0,1354.0,1354.0,,,0.0,1394-03-23
2015-06-15,1,0,2,0,3780,0,3780,0,4906860,0,4906860,0,1298.111111111111,1298.111111111111,,,0.0,1394-03-25
2015-06-16,2,0,2,0,6500,0,6500,0,8280000,0,8280000,0,1273.8461538461538,1273.8461538461538,,,0.0,1394-03-26
2015-06-21,3,0,1,0,22000,0,22000,0,27520000,0,27520000,0,1250.909090909091,1250.909090909091,,,0.0,1394-03-31
2015-06-23,1,0,1,0,4000,0,4000,0,5252000,0,5252000,0,1313.0,1313.0,,,0.0,1394-04-02
2015-06-24,5,0,3,0,107000,0,107000,0,143210000,0,143210000,0,1338.411214953271,1338.411214953271,,,0.0,1394-04-03
2015-06-29,1,0,1,0,9855,0,9855,0,13166280,0,13166280,0,1336.0,1336.0,,,0.0,1394-04-08
2015-06-30,2,0,2,0,14000,0,14000,0,18946000,0,18946000,0,1353.2857142857142,1353.2857142857142,,,0.0,1394-04-09
2015-07-06,4,0,3,0,55000,0,55000,0,77345050,0,77345050,0,1406.2736363636363,1406.2736363636363,,,0.0,1394-04-15
