date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,13,2,12,3,13348,20010,28596,4762,157294032,234720130,336153072,55861090,11784.08990110878,11755.248006714226,11730.141429285355,11730.594288114238,-15248.0,1387-09-06
2008-11-29,4,1,4,1,4309,10,4309,10,50212777,120020,50212777,120020,11653.0,11653.0,12002.0,12002.0,0.0,1387-09-09
2008-11-30,7,1,1,1,1524,10,1524,10,17742408,119980,17742408,119980,11642.0,11642.0,11998.0,11998.0,0.0,1387-09-10
2008-12-01,4,1,1,1,768,10,768,10,8938752,119960,8938752,119960,11639.0,11639.0,11996.0,11996.0,0.0,1387-09-11
2008-12-02,6,1,2,1,803,10,803,10,9344511,119940,9344511,119940,11637.0,11637.0,11994.0,11994.0,0.0,1387-09-12
2008-12-03,8,1,3,1,12986,10,12986,10,151092110,119620,151092110,119620,11635.0,11635.0,11962.0,11962.0,0.0,1387-09-13
2008-12-06,5,0,3,0,1930,0,1930,0,22395720,0,22395720,0,11604.0,11604.0,,,0.0,1387-09-16
2008-12-07,3,0,1,0,2237,0,2237,0,25946963,0,25946963,0,11599.0,11599.0,,,0.0,1387-09-17
2008-12-08,2,0,1,0,505,0,505,0,5854465,0,5854465,0,11593.0,11593.0,,,0.0,1387-09-18
2008-12-10,4,1,1,0,2155,5000,7155,0,24980760,57960000,82940760,0,11592.0,11592.0,11592.0,,-5000.0,1387-09-20
2008-12-13,2,2,4,0,1900,10540,12440,0,21992500,122000500,143993000,0,11575.0,11575.0,11575.0,,-10540.0,1387-09-23
2008-12-14,1,1,5,0,861,2000,2861,0,9939384,23088000,33027384,0,11544.0,11544.0,11544.0,,-2000.0,1387-09-24
2008-12-15,1,0,1,0,113,0,113,0,1303794,0,1303794,0,11538.0,11538.0,,,0.0,1387-09-25
2008-12-16,5,0,2,0,1977,0,1977,0,22810626,0,22810626,0,11538.0,11538.0,,,0.0,1387-09-26
2008-12-20,5,0,4,0,10338,0,10338,0,119228154,0,119228154,0,11533.0,11533.0,,,0.0,1387-09-30
2008-12-21,1,0,1,0,313,0,313,0,3602004,0,3602004,0,11508.0,11508.0,,,0.0,1387-10-01
2008-12-22,5,1,1,0,100,3000,3100,0,1150700,34521000,35671700,0,11507.0,11507.0,11507.0,,-3000.0,1387-10-02
2008-12-23,46,1,1,0,2840,2000,4840,0,32657160,22998000,55655160,0,11499.0,11499.0,11499.0,,-2000.0,1387-10-03
2008-12-24,1,1,2,0,433,2000,2433,0,4973871,22974000,27947871,0,11487.0,11487.0,11487.0,,-2000.0,1387-10-04
2008-12-27,43,0,2,0,2050,0,2050,0,23536050,0,23536050,0,11481.0,11481.0,,,0.0,1387-10-07
2008-12-28,117,0,10,0,12875,0,12875,0,147766375,0,147766375,0,11477.0,11477.0,,,0.0,1387-10-08
2008-12-29,24,1,42,0,120314,5000,125314,0,1377208875,57230000,1434438875,0,11446.788195887428,11446.756747051408,11446.0,,-5000.0,1387-10-09
2008-12-30,15,0,4,1,57825,0,52505,5320,663245480,0,602311169,60934311,11469.874275832251,11471.501171317015,,11453.817857142858,5320.0,1387-10-10
2008-12-31,18,0,5,1,32540,0,27860,4680,377431470,0,323148150,54283320,11599.000307314074,11599.000358937545,,11599.0,4680.0,1387-10-11
2009-01-03,10,0,6,1,46267,0,35082,11185,546127936,0,413545946,132581990,11803.832883048392,11787.980901887007,,11853.552972731335,11185.0,1387-10-14
2009-01-04,14,0,5,1,17497,0,11458,6039,208050485,0,135878396,72172089,11890.637537863631,11858.8231803107,,11951.0,6039.0,1387-10-15
2009-01-05,9,3,4,0,6724,13150,19874,0,79743929,155863500,235607429,0,11859.596817370611,11855.058317399618,11852.737642585553,,-13150.0,1387-10-16
2009-01-10,9,0,5,0,5996,0,5996,0,70580700,0,70580700,0,11771.297531687793,11771.297531687793,,,0.0,1387-10-21
2009-01-11,2,0,1,0,1500,0,1500,0,17631000,0,17631000,0,11754.0,11754.0,,,0.0,1387-10-22
2009-01-12,10,0,7,1,33880,0,16730,17150,402045910,0,198645910,203400000,11866.762396694216,11873.634787806335,,11860.0583090379,17150.0,1387-10-23
2009-01-13,15,0,5,1,24203,0,15133,9070,289773301,0,180933301,108840000,11972.619138123371,11956.208352606884,,12000.0,9070.0,1387-10-24
2009-01-14,52,0,6,0,21254,0,21254,0,250741461,0,250741461,0,11797.377481885762,11797.377481885762,,,0.0,1387-10-25
2009-01-17,18,0,10,2,14197,0,11015,3182,169006362,0,131163442,37842920,11904.37148693386,11907.711484339536,,11892.809553739786,3182.0,1387-10-28
2009-01-18,16,0,6,1,21391,0,11968,9423,257705859,0,144137717,113568142,12047.396521901734,12043.592663770054,,12052.227740634617,9423.0,1387-10-29
2009-01-19,51,0,5,2,88770,0,20770,68000,1080262400,0,252362400,827900000,12169.22834290864,12150.332209918151,,12175.0,68000.0,1387-10-30
2009-01-20,34,0,2,1,2600,0,460,2140,32229295,0,5702219,26527076,12395.882692307692,12396.128260869566,,12395.829906542056,2140.0,1387-11-01
2009-01-21,10,0,1,1,13860,0,1000,12860,170235588,0,12058500,158177088,12282.509956709957,12058.5,,12299.929082426128,12860.0,1387-11-02
2009-01-24,17,1,2,1,10625,2000,2625,10000,128843994,24140000,32395750,120588244,12126.493552941176,12341.238095238095,12070.0,12058.8244,8000.0,1387-11-05
2009-01-25,6,0,4,0,3138,0,3138,0,37289827,0,37289827,0,11883.31007010835,11883.31007010835,,,0.0,1387-11-06
2009-01-26,12,0,7,0,16268,0,16268,0,191893257,0,191893257,0,11795.749754118517,11795.749754118517,,,0.0,1387-11-07
2009-01-27,14,0,7,1,17377,0,7377,10000,208501206,0,88521206,119980000,11998.688266098869,11999.621255252812,,11998.0,10000.0,1387-11-08
2009-01-28,9,1,3,1,12373,1000,3373,10000,145855327,11850696,40175073,117530950,11788.194213206174,11910.78357545212,11850.696,11753.095,9000.0,1387-11-09
2009-01-31,1,0,1,0,982,0,982,0,11783018,0,11783018,0,11999.0,11999.0,,,0.0,1387-11-12
2009-02-01,5,1,11,0,8683,1000,9683,0,103979117,11904000,115883117,0,11975.022112173212,11967.68739027161,11904.0,,-1000.0,1387-11-13
2009-02-02,5,1,2,0,4529,2000,6529,0,53946589,23815000,77761589,0,11911.36873482005,11910.18364221167,11907.5,,-2000.0,1387-11-14
2009-02-03,18,1,5,0,10761,1727,12488,0,127119950,20546119,147666069,0,11813.023882538797,11824.637171684815,11897.0,,-1727.0,1387-11-15
2009-02-04,29,1,7,2,23864,3000,16464,10400,281527315,35458600,195444615,121541300,11797.155338585317,11871.02860787172,11819.533333333333,11686.66346153846,7400.0,1387-11-16
2009-02-07,15,0,2,0,5972,0,5972,0,70434251,0,70434251,0,11794.080877427998,11794.080877427998,,,0.0,1387-11-19
2009-02-08,12,0,5,0,9835,0,9835,0,116855745,0,116855745,0,11881.621250635486,11881.621250635486,,,0.0,1387-11-20
2009-02-09,3,1,5,0,4624,8601,13225,0,54728640,101491800,156220440,0,11835.778546712803,11812.50964083176,11800.0,,-8601.0,1387-11-21
2009-02-11,12,2,7,1,46485,1399,7884,40000,540391603,16359200,93566299,463184504,11625.074819834355,11867.871511922882,11693.49535382416,11579.6126,38601.0,1387-11-23
2009-02-14,7,1,5,0,9701,20000,29701,0,111832425,230215629,342048054,0,11527.927533243996,11516.38173798862,11510.78145,,-20000.0,1387-11-26
2009-02-15,6,0,4,1,45270,0,5270,40000,529816027,0,61816027,468000000,11703.46867682792,11729.796394686908,,11700.0,40000.0,1387-11-27
2009-02-17,4,1,5,1,1729,10000,9624,2105,20205360,116607486,112219392,24593454,11686.153846153846,11660.369077306734,11660.7486,11683.35106888361,-7895.0,1387-11-29
2009-02-18,3,0,2,1,1882,0,254,1628,22092590,0,2981498,19111092,11738.889479277364,11738.181102362203,,11739.0,1628.0,1387-11-30
2009-02-21,4,0,1,0,270,0,270,0,3105200,0,3105200,0,11500.74074074074,11500.74074074074,,,0.0,1387-12-03
2009-02-22,8,2,14,1,5726,40941,42167,4500,66277364,479962143,493445507,52794000,11574.81033880545,11702.172480849951,11723.263794240493,11732.0,-36441.0,1387-12-04
2009-03-03,17,1,13,1,36506,30000,49115,17391,440164307,366369279,592624286,213909300,12057.314057963074,12066.054891580983,12212.3093,12300.0,-12609.0,1387-12-13
2009-03-04,27,0,12,4,51028,0,19564,31464,618082544,0,236703863,381378681,12112.615505212823,12098.950265794316,,12121.112414187644,31464.0,1387-12-14
2009-03-07,5,0,3,2,4402,0,1336,3066,52716263,0,15936139,36780124,11975.525442980465,11928.247754491018,,11996.126549249837,3066.0,1387-12-17
2009-03-08,13,1,7,0,4111,156,4267,0,49042917,1856400,50899317,0,11929.68061298954,11928.595500351536,11900.0,,-156.0,1387-12-18
2009-03-09,12,0,3,1,17288,0,10788,6500,208962908,0,130319408,78643500,12087.164969921332,12080.03411197627,,12099.0,6500.0,1387-12-19
2009-03-10,6,0,2,1,2678,0,2392,286,32211558,0,28778700,3432858,12028.214339059,12031.229096989966,,12003.0,286.0,1387-12-20
2009-03-11,10,0,7,1,4940,0,3381,1559,60554082,0,41680828,18873254,12257.911336032388,12327.958592132503,,12106.0,1559.0,1387-12-21
2009-03-14,3,0,3,0,3479,0,3479,0,43133130,0,43133130,0,12398.140270192584,12398.140270192584,,,0.0,1387-12-24
2009-03-16,11,0,6,1,39088,0,8088,31000,487896416,0,100954416,386942000,12482.0,12482.0,,12482.0,31000.0,1387-12-26
2009-03-17,9,0,3,2,19916,0,6916,13000,250622944,0,87030944,163592000,12584.0,12584.0,,12584.0,13000.0,1387-12-27
2009-03-18,24,1,3,1,60094,4906,5000,60000,759407878,61997122,63185000,758220000,12637.0,12637.0,12637.0,12637.0,55094.0,1387-12-28
2009-03-25,8,1,1,1,20500,40280,780,60000,262564000,515906240,9990240,768480000,12808.0,12808.0,12808.0,12808.0,19720.0,1388-01-05
2009-03-28,4,0,2,0,2217,0,2217,0,28752273,0,28752273,0,12969.0,12969.0,,,0.0,1388-01-08
2009-03-29,33,1,2,1,62458,3500,15958,50000,810392060,45412500,207054560,648750000,12974.992154727976,12974.969294397792,12975.0,12975.0,46500.0,1388-01-09
2009-03-30,2,0,1,0,1000,0,1000,0,13154000,0,13154000,0,13154.0,13154.0,,,0.0,1388-01-10
2009-03-31,19,0,12,2,68014,0,46014,22000,894860198,0,605406198,289454000,13157.0,13157.0,,13157.0,22000.0,1388-01-11
2009-04-04,20,0,4,1,23480,0,21480,2000,313287640,0,286607640,26680000,13342.744463373085,13343.0,,13340.0,2000.0,1388-01-15
2009-04-05,57,0,7,1,7891,0,2891,5000,105800680,0,38760680,67040000,13407.765809149663,13407.360774818402,,13408.0,5000.0,1388-01-16
2009-04-06,171,1,6,1,137393,8000,3749,141644,1845187990,107440000,50349070,1902278920,13430.0,13430.0,13430.0,13430.0,133644.0,1388-01-17
2009-04-07,163,4,7,2,185455,163314,6131,342638,2565213560,2258959248,84803992,4739368816,13832.0,13832.0,13832.0,13832.0,179324.0,1388-01-18
2009-04-08,143,1,17,5,62846,6254,27136,41964,895194629,89093488,386502290,597785827,14244.257852528404,14243.15632370283,14245.840741925167,14245.206057573158,35710.0,1388-01-19
2009-04-11,78,0,13,0,17861,0,17861,0,256798290,0,256798290,0,14377.598678685405,14377.598678685405,,,0.0,1388-01-22
2009-04-12,29,0,18,2,54285,0,35648,18637,784812128,0,514690114,270122014,14457.25574283872,14438.120343357272,,14493.857058539465,18637.0,1388-01-23
2009-04-13,19,1,9,2,23556,7902,10458,21000,326792180,108984384,144337404,291439160,13872.991169977924,13801.62593230063,13792.0,13878.055238095238,13098.0,1388-01-24
2009-04-14,18,1,8,1,28828,2098,19675,11251,399282265,28771972,270573990,157480247,13850.501769113362,13752.172299872936,13714.0,13997.0,9153.0,1388-01-25
2009-04-15,16,0,9,1,16465,0,11465,5000,226947124,0,158130016,68817108,13783.609110233829,13792.413083296991,,13763.4216,5000.0,1388-01-26
2009-04-18,11,0,5,0,16268,0,16268,0,223903790,0,223903790,0,13763.44910253258,13763.44910253258,,,0.0,1388-01-29
2009-04-19,18,0,13,2,19336,0,8066,11270,271734200,0,113996450,157737750,14053.27885808854,14132.959335482272,,13996.251109139308,11270.0,1388-01-30
2009-04-20,14,0,4,1,23965,0,3965,20000,335048727,0,55834582,279214145,13980.752221990402,14081.861790668348,,13960.70725,20000.0,1388-01-31
2009-04-22,17,0,6,1,27575,0,17575,10000,384124739,0,245264725,138860014,13930.18092475068,13955.318634423898,,13886.0014,10000.0,1388-02-02
2009-04-25,18,0,12,0,47380,0,47380,0,650895227,0,650895227,0,13737.763338961588,13737.763338961588,,,0.0,1388-02-05
2009-04-26,13,0,11,1,28209,0,23642,4567,385482533,0,323343663,62138870,13665.232124499273,13676.662845782928,,13606.05868184804,4567.0,1388-02-06
2009-04-27,37,0,10,3,58324,0,16619,41705,797960617,0,229338147,568622470,13681.513905081956,13799.75612251038,,13634.395636014866,41705.0,1388-02-07
2009-04-28,39,0,11,0,56663,0,56663,0,784373495,0,784373495,0,13842.780915235691,13842.780915235691,,,0.0,1388-02-08
2009-04-29,28,1,9,0,50954,870,51824,0,705741815,12050370,717792185,0,13850.567472622366,13850.57473371411,13851.0,,-870.0,1388-02-09
2009-05-02,32,0,11,1,39005,0,9032,29973,539563850,0,124374057,415189793,13833.197026022304,13770.378321523473,,13852.126680679276,29973.0,1388-02-12
2009-05-03,38,0,13,1,42374,0,25914,16460,592588665,0,362183665,230405000,13984.72329730495,13976.370494713285,,13997.873633049818,16460.0,1388-02-13
2009-05-04,14,0,8,2,29169,0,7430,21739,406031958,0,103019169,303012789,13919.9821042888,13865.29865410498,,13938.671926031557,21739.0,1388-02-14
2009-05-05,20,0,10,0,10218,0,10218,0,142287712,0,142287712,0,13925.201800743784,13925.201800743784,,,0.0,1388-02-15
2009-05-06,24,0,10,2,68207,0,41972,26235,955221858,0,587564348,367657510,14004.748163678214,13998.959973315545,,14014.008385744237,26235.0,1388-02-16
2009-05-09,64,3,8,3,177154,5000,67195,114959,2543284373,71753000,964804200,1650233173,14356.347432177654,14358.27368107746,14350.6,14354.97153767865,109959.0,1388-02-19
2009-05-10,64,1,12,4,142633,140739,167971,115401,2105467963,2080307516,2483224890,1702550589,14761.436434766149,14783.652475724975,14781.315172056076,14753.343463228222,-25338.0,1388-02-20
2009-05-11,27,2,15,2,28712,35160,51437,12435,423737179,517808360,757426171,184119368,14758.190965449989,14725.317786807162,14727.200227531286,14806.54346602332,-22725.0,1388-02-21
2009-05-12,27,0,9,2,39586,0,24544,15042,583336767,0,361875977,221460790,14735.936113777598,14743.96907594524,,14722.82874617737,15042.0,1388-02-22
2009-05-13,30,0,13,2,35578,0,23110,12468,518573622,0,337688276,180885346,14575.682219349035,14612.214452617916,,14507.968078280395,12468.0,1388-02-23
2009-05-16,38,2,7,2,27077,2000,21906,7171,396869949,29426000,320565949,105730000,14657.087158843298,14633.705331872548,14713.0,14744.108213638265,5171.0,1388-02-26
2009-05-17,48,1,20,3,73071,1000,33426,40645,1074671006,14700000,491137096,598233910,14707.216351220046,14693.265601627476,14700.0,14718.511748062492,39645.0,1388-02-27
2010-04-24,177,2,43,6,662723,46660,181648,527735,15976105856,1096840500,4405282342,12667664014,24106.76233660217,24251.752521359995,23507.083154736392,24003.83528475466,481075.0,1389-02-04
2010-04-25,113,1,41,3,194892,10000,154135,50757,4666572788,235010000,3700589801,1200992987,23944.404018635963,24008.75726473546,23501.0,23661.622771243376,40757.0,1389-02-05
2010-04-26,43,2,25,6,80174,11200,62045,29329,1875621428,261395200,1449386524,687630104,23394.385062489087,23360.246982029174,23338.85714285714,23445.39888847216,18129.0,1389-02-06
2010-04-27,29,0,17,2,74387,0,59387,15000,1727410601,0,1378895601,348515000,23221.94201943888,23218.812214794485,,23234.33333333333,15000.0,1389-02-07
2010-04-28,38,1,17,2,94378,5000,73028,26350,2214325765,116985000,1709493277,621817488,23462.3086418445,23408.737429479104,23397.0,23598.386641366225,21350.0,1389-02-08
2010-05-01,22,2,10,0,42490,40000,82490,0,981700188,919120000,1900820188,0,23104.264250411863,23043.037798521036,22978.0,,-40000.0,1389-02-11
2010-05-02,24,13,19,0,47243,14871,62114,0,1072857168,338109127,1410966295,0,22709.33615562094,22715.7532118363,22736.139264339992,,-14871.0,1389-02-12
2010-05-03,44,3,32,2,99456,30015,90471,39000,2220649875,667217500,2019126685,868740690,22327.96286800193,22317.94370571785,22229.46859903381,22275.402307692308,8985.0,1389-02-13
2010-05-04,29,0,18,1,22005,0,21088,917,489599293,0,469058493,20540800,22249.45662349466,22242.91032814871,,22400.0,917.0,1389-02-14
2010-05-05,41,3,15,1,47051,24965,70016,2000,1033655626,543984400,1534003329,43636697,21968.834371214216,21909.325425617,21789.881834568398,21818.3485,-22965.0,1389-02-15
2010-05-08,33,2,23,1,33208,17924,51119,13,739759157,399912800,1139380783,291174,22276.53447964346,22288.792484203525,22311.58223610801,22398.0,-17911.0,1389-02-18
2010-05-09,46,0,12,1,41599,0,38599,3000,945086807,0,877649807,67437000,22718.978989879564,22737.630689914247,,22479.0,3000.0,1389-02-19
2010-05-10,17,2,11,2,33980,22864,21496,35348,785668357,528661408,497013309,817316456,23121.493731606828,23121.199711574245,23122.0,23122.0,12484.0,1389-02-20
2010-05-11,69,2,9,1,38583,13972,22555,30000,904424103,327517652,528711755,703230000,23441.0,23441.0,23441.0,23441.0,16028.0,1389-02-21
2010-05-12,98,1,7,1,117544,485,82443,35586,2790486750,11513900,1957189010,844811640,23739.933556795757,23739.90526788205,23740.0,23740.0,35101.0,1389-02-22
2010-05-15,50,3,15,0,65918,16979,82897,0,1595605932,410285458,2005891390,0,24205.921478200187,24197.39423622085,24164.288709582423,,-16979.0,1389-02-25
2010-05-16,468,1,29,2,68937,9000,58465,19472,1699922918,222808005,1440324235,482406688,24659.07884010038,24635.666381595827,24756.445,24774.377978635992,10472.0,1389-02-26
2010-05-18,121,4,27,3,148056,50425,58518,139963,3729081939,1270045945,1473879803,3525248081,25186.969383206357,25186.776769541,25186.83083787804,25187.0,89538.0,1389-02-28
2010-05-19,46,3,27,2,78350,1880,56899,23331,2007203430,48512000,1464011570,591703860,25618.42284620293,25730.005272500395,25804.25531914893,25361.2729844413,21451.0,1389-02-29
2010-05-22,23,1,8,2,20772,1000,20937,835,525446090,25500000,529798425,21147665,25295.883400731756,25304.40965754406,25500.0,25326.54491017964,-165.0,1389-03-01
2010-05-23,14,1,16,1,13852,20000,32632,1220,351812329,506020000,826831909,31000420,25397.94462893445,25338.070268448148,25301.0,25410.180327868853,-18780.0,1389-03-02
2010-05-24,10,2,11,1,6538,15022,18860,2700,163836165,380528321,476067218,68297268,25059.06469868461,25242.164262990456,25331.40201038477,25295.284444444445,-12322.0,1389-03-03
2010-05-25,13,2,9,1,7992,6000,8399,5593,207462023,155494000,217543616,145412407,25958.711586586585,25901.13299202286,25915.666666666668,25999.0,-407.0,1389-03-04
2010-05-26,44,2,14,4,80849,7185,57001,31033,2111934139,187388794,1487635178,811687755,26121.95746391421,26098.404905177104,26080.555880306198,26155.63287468179,23848.0,1389-03-05
2010-05-29,29,2,18,4,31855,6000,28085,9770,846735892,160236609,745718555,261253946,26580.94151624549,26552.20064091152,26706.1015,26740.42436028659,3770.0,1389-03-08
2010-05-30,23,0,9,3,17166,0,12645,4521,458034856,0,337105736,120929120,26682.67831760457,26659.21202056149,,26748.312320283123,4521.0,1389-03-09
2010-05-31,23,0,7,2,22866,0,17366,5500,609429449,0,463429533,145999916,26652.21066211843,26686.026315789477,,26545.43927272727,5500.0,1389-03-10
2010-06-01,31,0,8,1,27335,0,25335,2000,718637686,0,666209597,52428089,26290.01960856045,26296.01724886521,,26214.0445,2000.0,1389-03-11
2010-06-02,44,0,20,1,48703,0,46703,2000,1282140515,0,1229540515,52600000,26325.698930250703,26326.79945613772,,26300.0,2000.0,1389-03-12
2010-06-06,18,0,14,0,18852,0,18852,0,501366634,0,501366634,0,26594.877678760877,26594.877678760877,,,0.0,1389-03-16
2010-06-07,18,0,9,0,24551,0,24551,0,648694180,0,648694180,0,26422.3119221213,26422.3119221213,,,0.0,1389-03-17
2010-06-08,35,2,19,0,50439,5400,55839,0,1350838033,144613541,1495451574,0,26781.618053490354,26781.489174233066,26780.28537037037,,-5400.0,1389-03-18
2010-06-09,16,1,10,0,11736,7900,19636,0,311594862,209464000,521058862,0,26550.346114519427,26535.896414748426,26514.430379746835,,-7900.0,1389-03-19
2010-06-12,14,1,13,1,14569,7100,21579,90,392866575,191387800,581833375,2421000,26965.925938636832,26962.944297696835,26956.028169014084,26900.0,-7010.0,1389-03-22
2010-06-13,30,1,17,1,28529,30000,43985,14544,779244891,819060062,1199988859,398316094,27314.132672017942,27281.77467318404,27302.002066666668,27386.970159515957,-15456.0,1389-03-23
2010-06-14,31,0,17,2,86981,0,54117,32864,2416933245,0,1503160860,913772385,27786.91030224992,27776.130605909417,,27804.66117940604,32864.0,1389-03-24
2010-06-15,36,0,17,2,73434,0,55746,17688,2076878890,0,1574876759,502002131,28282.251954135685,28250.937448426797,,28380.943634102216,17688.0,1389-03-25
2010-06-16,24,1,18,1,48329,50000,64299,34030,1385931813,1441623190,1846349893,981205110,28677.02234683109,28715.063889018493,28832.4638,28833.53247134881,-15970.0,1389-03-26
2010-06-19,38,0,15,1,92335,0,44682,47653,2694022416,0,1306797824,1387224592,29176.611425786537,29246.627814332394,,29110.960317293768,47653.0,1389-03-29
2010-06-20,24,0,14,3,29769,0,22422,7347,869402523,0,655783561,213618962,29204.962309785347,29247.326777272323,,29075.671974955763,7347.0,1389-03-30
2010-06-21,18,0,10,2,13338,0,10430,2908,385526201,0,301151036,84375165,28904.348553006446,28873.541323106423,,29014.84353507565,2908.0,1389-03-31
2010-06-22,19,0,13,0,27196,0,27196,0,765300372,0,765300372,0,28140.18135019856,28140.18135019856,,,0.0,1389-04-01
2010-06-23,20,1,18,0,20731,8614,29345,0,576701434,239546726,816248160,0,27818.31238242246,27815.57880388482,27809.0,,-8614.0,1389-04-02
2010-06-27,7,0,13,0,9570,0,9570,0,271584875,0,271584875,0,28378.774817136888,28378.774817136888,,,0.0,1389-04-06
2010-06-28,17,0,12,0,21637,0,21637,0,607550434,0,607550434,0,28079.236215741555,28079.236215741555,,,0.0,1389-04-07
2010-06-29,18,1,10,1,25724,737,11461,15000,714665525,20268974,319080878,415853621,27782.052752293577,27840.579181572288,27502.0,27723.57473333333,14263.0,1389-04-08
2010-06-30,12,1,13,0,15167,11500,26667,0,423312315,320000765,743313080,0,27910.088679369685,27873.89207634905,27826.15347826087,,-11500.0,1389-04-09
2010-07-03,6,0,11,1,5848,0,5348,500,164479428,0,150419428,14060000,28125.757181942543,28126.295437546745,,28120.0,500.0,1389-04-12
2010-07-04,64,0,16,2,32979,0,24045,8934,942390381,0,687010141,255380240,28575.46866187574,28571.85032231233,,28585.207074098947,8934.0,1389-04-13
2010-07-05,16,0,12,1,39686,0,38351,1335,1130957281,0,1092642781,38314500,28497.638487123924,28490.594273943312,,28700.0,1335.0,1389-04-14
2010-07-06,20,0,13,3,63257,0,23647,39610,1826574211,0,684221128,1142353083,28875.44795042446,28934.796295513173,,28840.017243120423,39610.0,1389-04-15
2010-07-07,25,1,9,2,58231,12500,14807,55924,1704397300,365440211,432647565,1637189946,29269.58664628806,29219.12372526508,29235.21688,29275.26546742007,43424.0,1389-04-16
2010-07-11,17,0,12,2,37157,0,31288,5869,1092996147,0,918930526,174065621,29415.61877977232,29370.06283559192,,29658.480320327144,5869.0,1389-04-20
2010-07-12,37,1,18,4,94553,58131,55969,96715,2841871641,1743922738,1680510185,2905284194,30055.85905259484,30025.73183369365,29999.875075261047,30039.6442537352,38584.0,1389-04-21
2010-07-13,24,1,18,1,44679,41869,79548,7000,1395593244,1307820084,2484761328,218652000,31236.0,31236.0,31236.0,31236.0,-34869.0,1389-04-22
2010-07-14,86,2,48,2,271081,1373,257275,15179,8669157896,43918151,8227545374,485530673,31979.95394734415,31979.57583908269,31987.0,31987.0,13806.0,1389-04-23
2010-07-21,9,1,2,0,13200,2000,15200,0,349760400,52994000,402754400,0,26497.0,26497.0,26497.0,,-2000.0,1389-04-30
2010-07-24,31,2,26,0,57995,8756,66751,0,1592966990,241095916,1834062906,0,27467.31597551513,27476.18621443873,27534.937871174054,,-8756.0,1389-05-02
2010-07-25,4,0,7,1,9680,0,8680,1000,271320720,0,243291720,28029000,28029.0,28029.0,,28029.0,1000.0,1389-05-03
2010-07-26,1,0,2,0,2343,0,2343,0,65845329,0,65845329,0,28103.0,28103.0,,,0.0,1389-05-04
2010-07-28,4,0,5,0,5882,0,5882,0,165413604,0,165413604,0,28122.0,28122.0,,,0.0,1389-05-06
2010-07-31,5,0,3,0,9987,0,9987,0,281313816,0,281313816,0,28168.0,28168.0,,,0.0,1389-05-09
2010-08-01,1,0,6,0,9507,0,9507,0,268534722,0,268534722,0,28246.0,28246.0,,,0.0,1389-05-10
2010-08-02,4,0,4,0,8452,0,8452,0,239369092,0,239369092,0,28321.0,28321.0,,,0.0,1389-05-11
2010-08-03,2,0,3,0,2568,0,2568,0,72897816,0,72897816,0,28387.0,28387.0,,,0.0,1389-05-12
2010-08-04,1,0,5,0,8995,0,8995,0,255520965,0,255520965,0,28407.0,28407.0,,,0.0,1389-05-13
2010-08-07,5,0,6,0,8250,0,8250,0,234943500,0,234943500,0,28478.0,28478.0,,,0.0,1389-05-16
2010-08-08,11,0,9,0,9399,0,9399,0,268275657,0,268275657,0,28543.0,28543.0,,,0.0,1389-05-17
2010-08-09,12,0,5,1,38562,0,37302,1260,1103567316,0,1067508636,36058680,28618.0,28618.0,,28618.0,1260.0,1389-05-18
2010-08-10,1,0,4,0,6451,0,6451,0,186595175,0,186595175,0,28925.0,28925.0,,,0.0,1389-05-19
2010-08-11,1,0,7,0,6940,0,6940,0,201100380,0,201100380,0,28977.0,28977.0,,,0.0,1389-05-20
2010-08-14,8,0,8,0,10692,0,10692,0,310420836,0,310420836,0,29033.0,29033.0,,,0.0,1389-05-23
2010-08-15,3,1,8,0,11000,4252,15252,0,320320000,123818240,444138240,0,29120.0,29120.0,29120.0,,-4252.0,1389-05-24
2010-08-16,2,0,3,0,6684,0,6684,0,195460212,0,195460212,0,29243.0,29243.0,,,0.0,1389-05-25
2010-08-17,7,0,8,1,24636,0,4636,20000,721760892,0,135820892,585940000,29297.0,29297.0,,29297.0,20000.0,1389-05-26
2010-08-18,1,0,3,0,3702,0,3702,0,109201596,0,109201596,0,29498.0,29498.0,,,0.0,1389-05-27
2010-08-21,23,1,14,0,54508,20000,74508,0,1609512224,590560000,2200072224,0,29528.0,29528.0,29528.0,,-20000.0,1389-05-30
2010-08-22,102,3,37,0,145831,19000,164831,0,4381923312,569418000,4951341312,0,30047.95490670708,30038.89627557923,29969.36842105263,,-19000.0,1389-05-31
2010-08-23,48,2,38,2,68108,50000,110644,7464,2072533273,1557943420,3397437605,233039088,30430.1003259529,30706.026580745453,31158.8684,31221.742765273317,-42536.0,1389-06-01
2010-08-24,25,0,27,0,66656,0,66656,0,2028303113,0,2028303113,0,30429.415401464237,30429.415401464237,,,0.0,1389-06-02
2010-08-25,85,2,16,2,33948,8850,36798,6000,1057372395,273079325,1142456720,187995000,31146.824407917997,31046.706886243817,30856.4209039548,31332.5,-2850.0,1389-06-03
2010-08-28,78,1,26,1,46726,6037,35227,17536,1475765752,185299678,1112065878,548999552,31583.395796772675,31568.56609986658,30694.0,31307.0,11499.0,1389-06-06
