date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-06-03,109133,583,0,5,178965100,1025970,0,179991070,1163273150000,6668805000,0,1169941955000,6500.0,,6500.0,6500.0,178965100.0,1397-03-13
2018-06-09,80,2,3482,28,4820431,400000,5172794,47637,32899441575,2730000000,35304319050,325122525,6825.0,6825.0,6825.0,6825.0,-352363.0,1397-03-19
2018-06-10,1234,17,36874,185,28575807,36932382,65063677,444512,203048717052,263407155115,463291335171,3164536996,7105.616196665942,7120.583350538273,7132.146394321385,7119.126133827658,-36487870.0,1397-03-20
2018-06-11,82,7,4462,25,6246966,1040000,7229445,57521,46708564782,7776080000,54054560265,430084517,7477.0,7477.0,7477.0,7477.0,-982479.0,1397-03-21
2018-06-12,514,2,5369,22,16293441,250000,16127711,415730,127895486572,1962500000,126594506072,3263480500,7849.50745345934,7849.502392000948,7850.0,7850.0,165730.0,1397-03-22
2018-06-13,2196,26,24690,153,29992381,25464646,53897288,1559739,245114199710,209348512775,441489821492,12972890993,8172.548878663551,8191.3179285013375,8221.143650494887,8317.347320929975,-23904907.0,1397-03-23
2018-06-17,156,1,2201,12,2592445,2484291,5012441,64295,22245808259,21357462988,43052161484,551109763,8581.014547656749,8589.060995231664,8597.00533794149,8571.580418384012,-2419996.0,1397-03-27
2018-06-18,627,13,2713,25,8864266,19893073,14672746,14084593,79890458214,179364614653,132243945341,127011127526,9012.642244039156,9012.896791166426,9016.435753943091,9017.73501910918,-5808480.0,1397-03-28
2018-06-19,339,7,5624,32,4753305,27937457,25526738,7164024,44803700414,264277528639,241331053788,67750175265,9425.79960974522,9454.049858936149,9459.612900308,9457.000041457148,-20773433.0,1397-03-29
2018-06-20,13,0,248,0,584611,0,584611,0,5803433397,0,5803433397,0,9927.0,9927.0,,,0.0,1397-03-30
2018-06-23,1650,6,5651,32,12952886,9707699,21129781,1530804,133850632572,101046797100,219248720973,15648708699,10333.653254726398,10376.289322307695,10408.933888452866,10222.542336576074,-8176895.0,1397-04-02
2018-06-24,1608,7,3700,14,10123502,2674189,12279729,517962,101943047613,27431360680,124147002688,5227405605,10069.939000654122,10109.913882301476,10257.824215117182,10092.256970588576,-2156227.0,1397-04-03
2018-06-25,1730,11,6844,32,16100628,12543279,26779688,1864219,155767490169,121331440004,259165306399,17933623774,9674.62201902932,9677.682070045028,9673.024095533552,9619.912560702363,-10679060.0,1397-04-04
2018-06-26,517,5,1844,5,3844033,4385679,6544042,1685670,37022521614,41978483739,62857503890,16143501463,9631.166437436932,9605.302638644434,9571.71825366152,9576.905006911198,-2700009.0,1397-04-05
2018-06-27,406,5,1301,11,2344581,3390066,5405875,328772,21908710186,31756391860,50558101837,3107000209,9344.40319443005,9352.43634693736,9367.4848395282,9450.318789312958,-3061294.0,1397-04-06
2018-06-30,312,5,749,9,1688382,909185,2487560,110007,16085676203,8605398156,23651919584,1039154775,9527.272976731569,9508.080039878436,9464.95834841094,9446.26046524312,-799178.0,1397-04-09
2018-07-01,247,6,764,8,1188869,1438336,2521844,105361,10952566938,13288054458,23275395145,965226251,9212.593597780748,9229.514254252048,9238.49118564786,9161.134110344436,-1332975.0,1397-04-10
2018-07-02,214,7,748,1,1331001,1038962,2318963,51000,12380266520,9615489220,21519565414,476190326,9301.470487249822,9279.822668149513,9254.899813467671,9337.065215686274,-987962.0,1397-04-11
2018-07-03,218,2,869,8,1504080,829214,2282577,50717,14348903423,7894913610,21754391476,489425557,9539.986851098343,9530.62765286779,9520.96034316835,9650.128300175484,-778497.0,1397-04-12
2018-07-04,203,2,1310,3,926581,863168,1787250,2499,8753907808,8181843079,16912098847,23652040,9447.536489524393,9462.637486081969,9478.85357079966,9464.601840736295,-860669.0,1397-04-13
2018-07-07,152,2,354,4,313709,643673,951472,5910,2926254497,5995660507,8866993179,54921825,9327.926508324594,9319.23711785528,9314.76154351666,9293.032994923858,-637763.0,1397-04-16
2018-07-08,139,3,963,3,470819,1624313,2091338,3794,4381065838,15114394324,19460221074,35239088,9305.20186738428,9305.153482603004,9305.09964766643,9288.109646810752,-1620519.0,1397-04-17
2018-07-10,83,3,1024,2,331928,1892627,2219987,4568,3072228385,17557229052,20587130097,42327340,9255.707216625293,9273.5363301677,9276.645135042458,9266.05516637478,-1888059.0,1397-04-19
2018-07-11,220,3,1315,5,1244882,1743212,2981871,6223,11331076737,15948648517,27222847989,56877265,9102.129147180214,9129.451941079946,9149.001106577973,9139.846537040014,-1736989.0,1397-04-20
2018-07-14,161,1,374,0,624685,412728,1037413,0,5745256829,3797853376,9543110205,0,9197.046237703802,9198.949892665698,9201.83117210366,,-412728.0,1397-04-23
2018-07-15,156,2,477,4,1285579,549621,1804842,30358,12045193801,5155619188,16913778551,287034438,9369.469943892986,9371.334748969715,9380.316960232596,9454.985111008633,-519263.0,1397-04-24
2018-07-16,96,1,508,4,664794,574345,1053717,185422,6294512154,5447180327,9993954953,1747737528,9468.36486791397,9484.477286595926,9484.16078663521,9425.72902891782,-388923.0,1397-04-25
2018-07-17,114,3,328,3,1100043,262533,1358884,3692,10273523724,2449318864,12688129583,34713005,9339.20194392401,9337.169017370135,9329.5656698396,9402.222372697724,-258841.0,1397-04-26
2018-07-18,190,2,325,3,621773,970938,1486889,105822,5731898890,9073311486,13815665089,989545287,9218.635884800402,9291.658684003984,9344.892759372897,9351.035578613142,-865116.0,1397-04-27
2018-07-21,125,1,164,0,390418,330609,721027,0,3589149548,3052770591,6641920139,0,9193.094447489611,9211.74954474659,9233.779452464996,,-330609.0,1397-04-30
2018-07-22,164,1,617,8,3041036,941284,3959158,23162,28946365547,8944986624,37672139732,219212439,9518.586937806722,9515.189778230624,9502.96257452586,9464.31391935066,-918122.0,1397-04-31
2018-07-23,270,5,307,0,1726848,712990,2439838,0,16647112559,6897812012,23544924571,0,9640.172475516085,9650.199960407208,9674.486335011712,,-712990.0,1397-05-01
2018-07-24,70,3,229,0,626247,266449,892696,0,6033903726,2546255285,8580159011,0,9635.022165375642,9611.5127781462,9556.25761402745,,-266449.0,1397-05-02
2018-07-25,71,5,161,2,618807,8728291,1065312,8281786,5896273970,84142824042,10120261346,79918836666,9528.45389596433,9499.80977028326,9640.240459673034,9649.95191447835,-446505.0,1397-05-03
2018-07-28,111,3,263,2,834707,625676,1458596,1787,8076832684,6045611404,14105314876,17129212,9676.24889212622,9670.474124431988,9662.527256918916,9585.457190822608,-623889.0,1397-05-06
2018-07-29,122,5,226,0,539900,1025852,1565752,0,5113581360,9726997638,14840578998,0,9471.3490646416,9478.243679714284,9481.872275922842,,-1025852.0,1397-05-07
2018-07-30,106,2,267,1,600109,867641,1465964,1786,5677749925,8205190331,13866062556,16877700,9461.197757407404,9458.66512138088,9456.895572016538,9450.0,-865855.0,1397-05-08
2018-07-31,171,2,296,1,945155,146741,1090109,1787,9063787439,1413256007,10459945430,17098016,9589.736539509391,9595.32067894128,9630.955268125474,9568.0,-144954.0,1397-05-09
2018-08-01,319,4,635,2,2506312,1947424,4401736,52000,24950576021,19557081016,43985109037,522548000,9955.095782568173,9992.673126466469,10042.53876710978,10049.0,-1895424.0,1397-05-10
2018-08-04,118,2,226,0,1030350,297992,1328342,0,10052626298,2887059268,12939685566,0,9756.516036298346,9741.230470767316,9688.378439689655,,-297992.0,1397-05-13
2018-08-05,170,3,201,1,1245360,491929,1401675,335614,12096281235,4838481805,13637228011,3297535029,9713.079940740026,9729.236813812046,9835.731995877451,9825.379838147395,-156315.0,1397-05-14
2018-08-06,1,1,234,4,780,2294135,1394914,900001,7983300,23480471725,14276944790,9211510235,10235.0,10235.0,10235.0,10235.0,-1394134.0,1397-05-15
2018-08-07,232,5,352,4,2189596,6697568,3021164,5866000,22435739475,68005628087,30956302330,59485065232,10246.52012289025,10246.481928819489,10153.77941470695,10140.65210228435,-831568.0,1397-05-16
2018-08-08,126,2,228,2,1602881,50500,1253049,400332,16479232246,520989800,12874327377,4125894669,10281.00791387508,10274.400583696248,10316.629702970296,10306.182540990978,349832.0,1397-05-17
2018-08-11,83,1,132,2,445113,900000,725113,620000,4504841305,9170100000,7372212858,6302728447,10120.668920027048,10166.9848120224,10189.0,10165.691043548388,-280000.0,1397-05-20
2018-08-12,56,0,146,0,918802,0,918802,0,9350661269,0,9350661269,0,10177.014491696797,10177.014491696797,,,0.0,1397-05-21
2018-08-13,76,1,172,1,644804,5000,644804,5000,6532507883,50000000,6531507883,51000000,10130.997765212374,10129.446906346737,10000.0,10200.0,0.0,1397-05-22
2018-08-14,59,0,161,0,520541,0,520541,0,5286619796,0,5286619796,0,10156.01037382262,10156.01037382262,,,0.0,1397-05-23
2018-08-15,35,0,152,1,614590,0,572590,42000,6248756053,0,5821606053,427150000,10167.35718609154,10167.145868771722,,10170.238095238095,42000.0,1397-05-24
2018-08-18,77,2,150,4,809036,1020000,798873,1030163,8174841445,10300960000,8068948226,10406853219,10104.422355741895,10100.414241062095,10098.980392156862,10102.142300781528,10163.0,1397-05-27
2018-08-19,142,1,112,3,851451,30000,870608,10843,8479027056,299970000,8671114588,107882468,9958.32649911739,9959.8379385441,9999.0,9949.503642903255,-19157.0,1397-05-28
2018-08-20,76,0,198,0,1126567,0,1126567,0,11273799216,0,11273799216,0,10007.215918804652,10007.215918804652,,,0.0,1397-05-29
2018-08-21,90,1,192,2,751105,307681,980118,78668,7697490255,3156238768,10044991823,808737200,10248.221293960232,10248.757622041428,10258.15298312213,10280.383383332486,-229013.0,1397-05-30
2018-08-25,214,1,234,2,1784594,120915,1783509,122000,19132880307,1293138717,19112933024,1313086000,10721.138985674052,10716.47691376943,10694.60957697556,10763.0,1085.0,1397-06-03
2018-08-26,38,1,68,1,545038,441,345479,200000,6133857652,4963014,3888020666,2250800000,11254.0,11254.0,11254.0,11254.0,199559.0,1397-06-04
2018-08-27,256,2,241,5,2331229,1317743,2728645,920327,26902204050,14967088071,31338065339,10531226782,11539.92338376024,11484.845166373789,11358.123754783748,11442.91842138718,-397416.0,1397-06-05
2018-08-28,168,1,144,1,732972,676596,1389568,20000,8027853185,7469081343,15272934528,224000000,10952.46910523185,10991.138633014,11039.204108507884,11200.0,-656596.0,1397-06-06
2018-08-29,202,2,175,3,1045551,258095,1276758,26888,11181670383,2747999801,13639369150,290301034,10694.524115035996,10682.814715083046,10647.24152347004,10796.676361202024,-231207.0,1397-06-07
2018-09-01,115,1,145,2,535659,62984,527292,71351,5788173220,668542386,5676580453,780135153,10805.70515943912,10765.534946481266,10614.479645624286,10933.766212106348,8367.0,1397-06-10
2018-09-02,61,2,142,2,257129,343419,591547,9001,2702985295,3624309801,6233119396,94175700,10512.175970038385,10536.980824854154,10553.608859731115,10462.804132874126,-334418.0,1397-06-11
2018-09-03,60,1,91,1,126799,209084,328498,7385,1346784520,2221465488,3490656107,77593901,10621.412787167092,10626.110682561231,10624.751238736584,10506.96018957346,-201699.0,1397-06-12
2018-09-04,203,9,321,4,3294273,295000,2187487,1401786,35861442475,3167965000,23984520947,15044886528,10885.99593142402,10964.417592881697,10738.86440677966,10732.65571777718,1106786.0,1397-06-13
2018-09-05,161,2,193,0,1134454,233851,1368305,0,12880119664,2636906080,15517025744,0,11353.584776465152,11340.326713707836,11276.009424804684,,-233851.0,1397-06-14
2018-09-08,140,5,190,1,548860,934288,1478148,5000,6149881402,10548150365,16641541767,56490000,11204.827099806873,11258.373158168197,11290.041577115408,11298.0,-929288.0,1397-06-17
2018-09-09,174,1,187,1,891759,217657,1107630,1786,10223293259,2492241110,12695118603,20415766,11464.188484781202,11461.515671298175,11450.314531579505,11431.0,-215871.0,1397-06-18
2018-09-10,163,1,150,3,847613,213706,1044343,16976,9745629360,2458707293,12008788383,195548270,11497.734650129243,11498.89297194504,11505.09247751584,11519.101672950048,-196730.0,1397-06-19
2018-09-11,154,2,181,1,816897,346355,1138252,25000,9131263493,3886226664,12738508144,278982013,11177.986322633084,11191.28992876797,11220.356755352168,11159.28052,-321355.0,1397-06-20
2018-09-12,14,2,30,2,134024,56055,174079,16000,1569952568,657132500,2039085068,188000000,11713.96591655226,11713.561474962517,11722.995272500222,11750.0,-40055.0,1397-06-21
2018-09-15,157,1,222,3,838675,954854,1664935,128594,9694007628,11063355573,19275530567,1481832634,11558.71777267714,11577.3472039449,11586.436851078804,11523.341944414204,-826260.0,1397-06-24
2018-09-16,136,1,95,3,456196,97776,520972,33000,5102825743,1109524374,5841917117,370433000,11185.599485747354,11213.495383629062,11347.61469072165,11225.242424242424,-64776.0,1397-06-25
2018-09-17,253,1,193,6,1006364,1232449,2056261,182552,11179209254,13830022583,22992572933,2016658904,11108.514666661367,11181.73856966601,11221.57799876506,11047.038126122969,-1049897.0,1397-06-26
2018-09-23,49,2,38,4,297239,102945,361184,39000,3351203003,1163165195,4072943914,441424284,11274.439097830364,11276.645460485512,11298.89936373792,11318.571384615385,-63945.0,1397-07-01
2018-09-24,246,3,199,4,1231100,834057,1290622,774535,13512269090,9179226531,14173573992,8517921629,10975.768897733737,10981.971477318688,11005.514648279432,10997.46509712279,-59522.0,1397-07-02
2018-09-25,357,1,265,1,1729787,32916,1760412,2291,19436188279,368162327,19778006397,26344209,11236.174326087546,11234.87365287217,11184.904818325434,11499.0,-30625.0,1397-07-03
2018-09-26,266,1,315,0,3163521,50000,3213521,0,36701892961,589800000,37291692961,0,11601.59612058842,11604.620900563588,11796.0,,-50000.0,1397-07-04
2018-09-29,16,0,65,2,805516,0,105516,700000,9815212460,0,1285712460,8529500000,12185.0,12185.0,,12185.0,700000.0,1397-07-07
2018-09-30,450,3,134,5,6238025,123000,4116506,2244519,79801518555,1573660000,52658802469,28716376086,12792.753885244128,12792.111190655376,12793.983739837398,12794.0,2121519.0,1397-07-08
2018-10-01,105,1,45,0,797254,39000,836254,0,10700928563,514970000,11215898563,0,13422.232516864136,13412.071646891973,13204.358974358976,,-39000.0,1397-07-09
2018-10-02,54,0,14,0,585577,0,585577,0,7094283362,0,7094283362,0,12115.03075086624,12115.03075086624,,,0.0,1397-07-10
2018-10-03,147,5,342,2,1990695,402230,2358584,34341,23460925241,4739349391,27791441148,408833484,11785.293699436628,11783.10424729414,11782.685008577182,11905.112955359482,-367889.0,1397-07-11
2018-10-06,159,2,236,2,1895999,206896,2086066,16829,21948228040,2339652018,24083210486,204669572,11576.075746875396,11544.7979527014,11308.348242595312,12161.71917523323,-190067.0,1397-07-14
2018-10-07,70,0,318,3,3921441,0,3595489,325952,46990270596,0,43044090692,3946179904,11982.908985752942,11971.69305538134,,12106.62890241508,325952.0,1397-07-15
2018-10-08,54,0,77,3,3118932,0,1662899,1456033,39242402424,0,20922595218,18319807206,12582.0,12582.0,,12582.0,1456033.0,1397-07-16
2018-10-09,263,3,189,5,12886847,8250000,4716495,16420352,169098619147,106645650000,61825810603,213918458544,13121.799238168964,13108.422801889965,12926.745454545457,13027.641462497271,8170352.0,1397-07-17
2018-10-10,82,6,110,5,6649886,700000,648886,6701000,91090138428,9588600000,8888440428,91790298000,13698.0,13698.0,13698.0,13698.0,6001000.0,1397-07-18
2018-10-13,14,0,38,3,907072,0,605286,301786,13045509504,0,8705223252,4340286252,14382.0,14382.0,,14382.0,301786.0,1397-07-21
2018-10-15,501,10,593,5,8784677,2560003,10692829,651851,132927433797,39259291781,162344328387,9842397191,15131.73834359533,15182.54228015804,15335.642880496624,15099.151786221084,-1908152.0,1397-07-23
2018-10-16,392,5,599,2,5834726,3562000,9176726,220000,91069306171,55195043696,142762061776,3502288091,15608.154722432551,15556.971165533329,15495.520408759125,15919.491322727272,-3342000.0,1397-07-24
2018-10-17,241,2,377,6,5827898,70322,5487461,410759,91128556781,1056280135,85924426045,6260410871,15636.608049934985,15658.321042281666,15020.621356047894,15241.080222222765,340437.0,1397-07-25
2018-10-20,299,6,205,8,5379353,2229593,3668005,3940941,88180879299,36574380662,60142938296,64612321665,16392.46937298965,16396.634763584017,16404.06148655831,16395.150717810797,1711348.0,1397-07-28
2018-10-21,254,2,215,3,3337911,250000,3135974,451937,55890707032,4229607844,52567624300,7552690576,16744.21727601485,16762.77427682755,16918.431376,16711.821727364655,201937.0,1397-07-29
2018-10-22,131,4,292,3,3377108,284947,3626780,35275,57323061837,4839374945,61552424035,610012747,16974.00907433224,16971.645381026698,16983.42128536184,17293.06157335223,-249672.0,1397-07-30
2018-10-23,144,1,144,1,863621,130000,991835,1786,14525949816,2220765750,16716161822,30553744,16819.820055325195,16853.772877545158,17082.813461538462,17107.359462486,-128214.0,1397-08-01
2018-10-24,115,3,239,2,1386615,1016923,2386145,17393,23410850404,17248482621,40363687445,295645580,16883.453881574915,16915.856934511525,16961.444102454167,16997.963548554017,-999530.0,1397-08-02
2018-10-27,92,4,200,3,1059042,936259,1891890,103411,17962600689,15768417860,31994615054,1736403495,16961.17877194672,16911.456297142013,16841.9399546493,16791.28424442274,-832848.0,1397-08-05
